iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.124523043198,0.122882763167,0.750953913534,0.754234473597,6.612148885
10,0.0988462257799,0.0975744152161,0.761040512293,0.764795748921,76.175897837
20,0.0893233823328,0.0889017462015,0.773051527921,0.775357024244,146.486185511
30,0.0832731423686,0.0830835175516,0.783370383888,0.784390567918,216.898962651
40,0.0829756566804,0.0829114203043,0.786621984804,0.786914646297,287.097566395
50,0.0829512039405,0.0829683404352,0.786953780816,0.786848223182,357.387263621
60,0.0829345093335,0.0829543470844,0.787119678821,0.786914646297,427.58393315
70,0.0829290438158,0.082943402692,0.787152858423,0.786981069412,497.782054436
80,0.0829248555007,0.0829562216058,0.787152858423,0.786848223182,568.511001402
90,0.0829087601448,0.0829415293875,0.787252397226,0.786914646297,638.685840236
