iterations,fitness,time,fevals
0,21.0,0.000723144000006,465
10,22.0,0.00121362700001,838
20,22.0,0.00177923300001,1196
30,22.0,0.00226752800001,1568
40,22.0,0.00271789800001,1925
50,23.0,0.00599702400001,2292
60,24.0,0.00637373000001,2658
70,25.0,0.00676319900001,3027
80,25.0,0.007328075,3388
90,26.0,0.007711345,3757
100,26.0,0.00813509300001,4122
110,26.0,0.008740813,4483
120,27.0,0.009252447,4849
130,28.0,0.009605449,5214
140,27.0,0.009949335,5583
150,27.0,0.010307808,5958
160,27.0,0.010642212,6322
170,27.0,0.010981356,6686
180,27.0,0.011430996,7048
190,27.0,0.0117654,7414
200,28.0,0.012121319,7782
210,28.0,0.0125086,8153
220,28.0,0.012846286,8517
230,28.0,0.013548279,8886
240,28.0,0.013964005,9257
250,28.0,0.014355662,9617
260,28.0,0.014762636,9988
270,28.0,0.015135695,10343
280,28.0,0.015513859,10711
290,28.0,0.01586285,11081
300,28.0,0.016193971,11443
310,29.0,0.01653822,11812
320,30.0,0.016865695,12178
330,30.0,0.017211039,12547
340,28.0,0.017541796,12912
350,28.0,0.017861248,13273
360,28.0,0.018184347,13638
370,28.0,0.018500153,14010
380,28.0,0.01888634,14377
390,28.0,0.019213086,14747
400,29.0,0.019544207,15107
410,28.0,0.019918725,15471
420,28.0,0.020322781,15840
430,28.0,0.020707145,16204
440,28.0,0.0210565,16571
450,31.0,0.021440499,16943
460,31.0,0.021826686,17303
470,29.0,0.022208132,17667
480,30.0,0.022625681,18030
490,31.0,0.023002022,18394
500,28.0,0.023386021,18760
510,28.0,0.023730271,19128
520,29.0,0.024051911,19492
530,29.0,0.024461802,19858
540,30.0,0.024800947,20225
550,29.0,0.025173641,20593
560,30.0,0.025524819,20964
570,31.0,0.025873445,21338
580,30.0,0.02620639,21700
590,30.0,0.026584919,22069
600,31.0,0.026934639,22431
610,30.0,0.027378079,22805
620,30.0,0.027717223,23166
630,31.0,0.028059285,23535
640,31.0,0.028409734,23903
650,31.0,0.028790816,24265
660,31.0,0.029284581,24637
670,31.0,0.029662745,25000
680,31.0,0.029974539,25365
690,31.0,0.030321341,25733
700,33.0,0.030684919,26103
710,34.0,0.031035733,26469
720,35.0,0.031371961,26837
730,35.0,0.031839835,27204
740,35.0,0.03220633,27579
750,35.0,0.032603093,27944
760,35.0,0.032956095,28315
770,36.0,0.033285029,28676
780,36.0,0.033617609,29048
790,36.0,0.033988844,29423
800,36.0,0.034316683,29782
810,36.0,0.034658015,30143
820,36.0,0.035025239,30505
830,35.0,0.035700246,30872
840,35.0,0.036070388,31240
850,35.0,0.036458399,31615
860,36.0,0.036954353,31984
870,36.0,0.037288392,32351
880,36.0,0.037634829,32719
890,35.0,0.038026121,33085
900,36.0,0.038424707,33453
910,36.0,0.038822564,33829
920,36.0,0.039172284,34199
930,37.0,0.039518357,34562
940,36.0,0.039862242,34935
950,36.0,0.040229831,35306
960,36.0,0.040577728,35669
970,36.0,0.041040861,36031
980,36.0,0.041438717,36399
990,35.0,0.04181287,36762
1000,36.0,0.042211091,37118
1010,36.0,0.042563363,37489
1020,36.0,0.04292767,37852
1030,36.0,0.043270826,38220
1040,36.0,0.043609241,38593
1050,36.0,0.043979383,38959
1060,36.0,0.044371405,39330
1070,36.0,0.045103666,39698
1080,37.0,0.045443905,40062
1090,38.0,0.045881511,40425
1100,38.0,0.046253111,40794
1110,36.0,0.046608301,41157
1120,36.0,0.046987924,41516
1130,36.0,0.04733108,41883
1140,36.0,0.047679342,42253
1150,36.0,0.048045472,42615
1160,36.0,0.048390816,42979
1170,37.0,0.048739807,43353
1180,36.0,0.049084421,43721
1190,36.0,0.049546095,44081
1200,37.0,0.049926448,44452
1210,36.0,0.0502546529999,44818
1220,37.0,0.0505890569999,45185
1230,37.0,0.0509734209999,45557
1240,36.0,0.0513132949999,45921
1250,36.0,0.0516571799999,46293
1260,36.0,0.0520032539999,46665
1270,36.0,0.0523952759999,47038
1280,36.0,0.0527964149999,47415
1290,37.0,0.0533828069999,47787
1300,36.0,0.0537627949999,48152
1310,36.0,0.05409027,48518
1320,36.0,0.054411911,48891
1330,37.0,0.054756891,49259
1340,36.0,0.0551022349999,49628
1350,36.0,0.055428616,49993
1360,37.0,0.055801674,50364
1370,37.0,0.056202448,50728
1380,37.0,0.056612338,51091
1390,37.0,0.056991232,51455
1400,37.0,0.0574383189999,51824
1410,38.0,0.0577570419999,52194
1420,37.0,0.0581217139999,52558
1430,39.0,0.0584703399999,52919
1440,39.0,0.058864185,53278
1450,39.0,0.059283921,53645
1460,40.0,0.059622701,54010
1470,40.0,0.060008159,54380
1480,40.0,0.060426437,54746
1490,41.0,0.060760841,55115
1500,40.0,0.061078835,55481
1510,40.0,0.061563484,55843
1520,40.0,0.061909922,56208
1530,40.0,0.062265112,56582
1540,40.0,0.065370654,56945
1550,40.0,0.065792579,57314
1560,40.0,0.066127713,57679
1570,41.0,0.066488737,58049
1580,42.0,0.066824234,58417
1590,42.0,0.067332587,58781
1600,42.0,0.067687777,59144
1610,43.0,0.068062659,59512
1620,43.0,0.068687706,59879
1630,42.0,0.069010075,60251
1640,42.0,0.069355054,60619
1650,42.0,0.0697303,60987
1660,41.0,0.070126698,61355
1670,42.0,0.070462925,61712
1680,42.0,0.070794411,62079
1690,42.0,0.07120102,62446
1700,42.0,0.071537612,62810
1710,43.0,0.072006944,63171
1720,42.0,0.072392401,63543
1730,42.0,0.072768378,63914
1740,42.0,0.07327673,64278
1750,42.0,0.073650153,64652
1760,42.0,0.073972523,65020
1770,42.0,0.074340477,65392
1780,42.0,0.074681809,65748
1790,43.0,0.07503554,66109
1800,42.0,0.075364474,66473
1810,41.0,0.075691584,66837
1820,42.0,0.076125907,67202
1830,41.0,0.076484744,67564
1840,42.0,0.076854157,67933
1850,41.0,0.077349016,68295
1860,42.0,0.07769363,68659
1870,43.0,0.078730391,69015
1880,44.0,0.079120955,69385
1890,44.0,0.079483074,69745
1900,44.0,0.079849204,70108
1910,44.0,0.080282799,70478
1920,44.0,0.080690137,70846
1930,45.0,0.081154729,71218
1940,45.0,0.081458865,71576
1950,45.0,0.08179108,71941
1960,45.0,0.082204253,72310
1970,45.0,0.082566372,72679
1980,46.0,0.082933961,73040
1990,46.0,0.083357709,73405
2000,46.0,0.083705605,73780
2010,46.0,0.084031257,74144
2020,46.0,0.084390094,74508
2030,45.0,0.084756589,74871
2040,44.0,0.085187995,75240
2050,44.0,0.085538808,75608
2060,44.0,0.085871753,75974
2070,44.0,0.086244812,76341
2080,44.0,0.086614224,76709
2090,44.0,0.0870208329999,77070
2100,44.0,0.0882880669999,77441
2110,44.0,0.0886786299999,77810
2120,44.0,0.0890524179999,78183
2130,45.0,0.0893656709999,78550
2140,44.0,0.0897511289999,78912
2150,45.0,0.0903528369999,79284
2160,45.0,0.0907466829999,79657
2170,46.0,0.0910920259999,80019
2180,46.0,0.0914432049999,80386
2190,45.0,0.0917845369999,80758
2200,45.0,0.0921667129999,81123
2210,45.0,0.0925361249999,81494
2220,47.0,0.0928749049999,81868
2230,45.0,0.0933438729999,82233
2240,45.0,0.0937016159999,82594
2250,45.0,0.0940159629999,82951
2260,45.0,0.0943700589999,83319
2270,45.0,0.0946829469999,83684
2280,47.0,0.0950804389999,84053
2290,46.0,0.0953980679999,84425
2300,45.0,0.0957616459999,84793
2310,45.0,0.0962878669999,85158
2320,46.0,0.0966394109999,85532
2330,45.0,0.0969800139999,85898
2340,46.0,0.0973166049999,86266
2350,46.0,0.0976553849999,86623
2360,46.0,0.0980532409999,86988
2370,46.0,0.0983880089999,87360
2380,46.0,0.0987260589999,87735
2390,47.0,0.0990630149999,88104
2400,46.0,0.0993952309999,88464
2410,46.0,0.0997690189999,88827
2420,45.0,0.100127491,89198
2430,45.0,0.100440014,89570
2440,45.0,0.100776241,89938
2450,46.0,0.101096057,90305
2460,45.0,0.101428638,90668
2470,45.0,0.101775441,91030
2480,45.0,0.102171475,91399
2490,45.0,0.102697331,91772
2500,45.0,0.103083883,92143
2510,45.0,0.103423757,92504
2520,45.0,0.103765089,92868
2530,46.0,0.104110798,93237
2540,46.0,0.104506467,93614
2550,46.0,0.104856187,93978
2560,46.0,0.105243468,94344
2570,47.0,0.105588447,94713
2580,47.0,0.105937073,95078
2590,47.0,0.106326907,95443
2600,47.0,0.106712365,95805
2610,47.0,0.107113869,96172
2620,47.0,0.107464318,96532
2630,48.0,0.108032476,96905
2640,47.0,0.108361045,97267
2650,47.0,0.108697272,97639
2660,48.0,0.109030946,98009
2670,48.0,0.109371184,98371
2680,48.0,0.109775969,98734
2690,47.0,0.110126419,99097
2700,48.0,0.110659569,99466
2710,47.0,0.111038098,99836
2720,47.0,0.111473881,100205
2730,47.0,0.111945401,100571
2740,47.0,0.11232393,100940
2750,47.0,0.112665262,101301
2760,47.0,0.113103598,101669
2770,47.0,0.113457694,102038
2780,47.0,0.11388436,102403
2790,46.0,0.114194331,102760
2800,46.0,0.114540039,103131
2810,47.0,0.114879548,103499
2820,46.0,0.115212493,103865
2830,46.0,0.115542886,104229
2840,46.0,0.115874373,104597
2850,48.0,0.116246703,104961
2860,48.0,0.116964012,105333
2870,48.0,0.117301334,105704
2880,47.0,0.117631727,106063
2890,47.0,0.117977436,106437
2900,47.0,0.118432911,106806
2910,47.0,0.118761844,107170
2920,47.0,0.119102082,107539
2930,48.0,0.119456178,107907
2940,49.0,0.119784747,108272
2950,48.0,0.120167652,108638
2960,49.0,0.120497315,109000
2970,48.0,0.120830625,109373
2980,49.0,0.121158465,109745
2990,49.0,0.121482658,110111
3000,50.0,0.122019454,110486
3010,49.0,0.122352034,110857
3020,49.0,0.122742597,111222
3030,49.0,0.123119667,111590
3040,48.0,0.123666309,111960
3050,49.0,0.127270722,112333
3060,49.0,0.127631018,112706
3070,49.0,0.12796214,113072
3080,49.0,0.128299826,113439
3090,49.0,0.128678355,113804
3100,48.0,0.129025157,114171
3110,48.0,0.12937123,114534
3120,48.0,0.129727514,114904
3130,48.0,0.130068482,115278
3140,48.0,0.130408721,115652
3150,49.0,0.130746771,116019
3160,49.0,0.131127123,116382
3170,49.0,0.131476478,116749
3180,48.0,0.131948728,117113
3190,49.0,0.132329081,117483
3200,48.0,0.132720009,117851
3210,48.0,0.133058424,118224
3220,48.0,0.133418355,118584
