iterations,fitness,time,fevals
0,22.0,0.078542948,1000
10,29.0,0.153854177,2100
20,37.0,0.222937546,3200
30,37.0,0.285786856,4300
40,37.0,0.345374909,5400
50,39.0,0.404486336,6500
60,38.0,0.465961563,7600
70,42.0,0.528062931,8700
80,49.0,0.589673816,9800
90,59.0,0.649192946,10900
100,51.0,0.705679468,12000
110,62.0,0.76036743,13100
120,49.0,0.818847611,14200
130,58.0,0.876127658,15300
140,58.0,0.934054631,16400
150,54.0,0.991947325,17500
160,48.0,1.052427,18600
170,51.0,1.11041378,19700
180,51.0,1.170773113,20800
190,49.0,1.229388951,21900
200,53.0,1.289093698,23000
210,59.0,1.349159834,24100
220,56.0,1.414564397,25200
230,55.0,1.475138886,26300
240,57.0,1.535281604,27400
250,48.0,1.59849048,28500
260,53.0,1.660609353,29600
270,54.0,1.723045854,30700
280,55.0,1.784852933,31800
290,48.0,1.845411012,32900
300,49.0,1.904174907,34000
310,49.0,1.964717305,35100
320,49.0,2.022077215,36200
330,53.0,2.079798514,37300
340,52.0,2.138073749,38400
350,57.0,2.19601458,39500
360,54.0,2.252558719,40600
370,50.0,2.314198048,41700
380,55.0,2.370601789,42800
390,53.0,2.427147387,43900
400,52.0,2.48567461,45000
410,53.0,2.54257248,46100
420,54.0,2.598495219,47200
430,48.0,2.657812321,48300
440,51.0,2.716449675,49400
450,59.0,2.776964722,50500
460,52.0,2.835334043,51600
470,49.0,2.893571353,52700
480,49.0,2.952748056,53800
490,52.0,3.013523844,54900
500,52.0,3.072266588,56000
510,52.0,3.132569396,57100
520,50.0,3.194939892,58200
530,51.0,3.255268593,59300
540,48.0,3.312166464,60400
550,52.0,3.371222825,61500
560,55.0,3.428803361,62600
570,50.0,3.483182445,63700
580,51.0,3.535917226,64800
590,50.0,3.591982916,65900
600,49.0,3.649617788,67000
610,51.0,3.704170821,68100
620,50.0,3.758798976,69200
630,49.0,3.813762265,70300
640,51.0,3.869936627,71400
650,48.0,3.925585498,72500
660,50.0,3.981814197,73600
670,52.0,4.036435424,74700
680,51.0,4.092592647,75800
690,52.0,4.149079897,76900
700,58.0,4.203687996,78000
710,52.0,4.259017779,79100
720,53.0,4.316794508,80200
730,62.0,4.374574155,81300
740,50.0,4.429878412,82400
