iterations,fitness,time,fevals
0,17.0,0.0003169,11
10,17.0,0.000549196,21
20,17.0,0.000747942,31
30,17.0,0.000937571,41
40,17.0,0.001111154,51
50,17.0,0.001302607,61
60,17.0,0.001534538,71
70,18.0,0.00176027,81
80,18.0,0.001961204,91
90,18.0,0.002396622,101
100,19.0,0.002570206,111
110,20.0,0.002748895,121
120,21.0,0.002891847,131
130,21.0,0.003010366,141
140,21.0,0.003144565,151
150,21.0,0.003564302,161
160,21.0,0.003702148,171
170,24.0,0.003827959,181
180,24.0,0.00395377,191
190,24.0,0.004033998,201
200,24.0,0.004136835,211
210,24.0,0.004232379,221
220,24.0,0.004365484,231
230,24.0,0.004513905,241
240,24.0,0.004614554,251
250,25.0,0.004764434,261
260,25.0,0.004878941,271
270,25.0,0.004975579,281
280,25.0,0.005064923,291
290,25.0,0.005214074,301
300,25.0,0.005382187,311
310,25.0,0.0055565,321
320,25.0,0.005651315,331
330,25.0,0.005759987,341
340,25.0,0.005830733,351
350,26.0,0.005907314,361
360,26.0,0.005986447,371
370,27.0,0.006046253,381
380,27.0,0.006143256,391
390,27.0,0.006235882,401
400,29.0,0.006278913,411
410,33.0,0.00633726,421
420,33.0,0.006384302,431
430,33.0,0.006435721,441
440,33.0,0.006485681,451
450,34.0,0.006524336,461
460,34.0,0.006590707,471
470,34.0,0.006657806,481
480,34.0,0.006702296,491
490,34.0,0.006746786,501
500,34.0,0.00679164,511
510,34.0,0.006902136,521
520,34.0,0.006945897,531
530,34.0,0.007006798,541
540,34.0,0.007071344,551
550,34.0,0.007127139,561
560,34.0,0.007169805,571
570,34.0,0.007337918,581
580,34.0,0.00745206,591
590,34.0,0.00750749,601
600,35.0,0.007674145,611
610,35.0,0.007744162,621
620,35.0,0.007784641,631
630,35.0,0.007824755,641
640,35.0,0.007864139,651
650,35.0,0.007900606,661
660,35.0,0.007948378,671
670,35.0,0.008071637,681
680,35.0,0.008109563,691
690,35.0,0.008145666,701
700,35.0,0.008184321,711
710,35.0,0.008240845,721
720,35.0,0.008279135,731
730,35.0,0.008336024,741
740,35.0,0.008375408,751
750,35.0,0.008412605,761
760,35.0,0.008475693,771
770,35.0,0.008516172,781
780,35.0,0.008554098,791
790,35.0,0.008592388,801
800,35.0,0.008638337,811
810,35.0,0.008675898,821
820,35.0,0.008713094,831
830,35.0,0.00875175,841
840,35.0,0.008790041,851
850,35.0,0.008825779,861
860,35.0,0.008862611,871
870,35.0,0.008910747,881
880,35.0,0.008953778,891
890,35.0,0.008996809,901
900,35.0,0.009056615,911
910,35.0,0.009101834,921
920,35.0,0.009133925,931
930,35.0,0.009189356,941
940,35.0,0.009227282,951
950,35.0,0.009259009,961
960,35.0,0.009290371,971
970,35.0,0.009328297,981
