iterations,fitness,time,fevals
0,12.0,5.03250000001e-05,11
10,12.0,0.000114872,21
20,13.0,0.000152797,31
30,14.0,0.00018817,41
40,14.0,0.000221355,51
50,15.0,0.00026001,61
60,15.0,0.000370141,71
70,15.0,0.000406608,81
80,16.0,0.000443075,91
90,17.0,0.00048246,101
100,17.0,0.000522939,111
110,17.0,0.000561229,121
120,17.0,0.000611553999999,131
130,18.0,0.000706369,141
140,19.0,0.000746117999999,151
150,19.0,0.000781490999999,161
160,19.0,0.000818322999999,171
170,20.0,0.000939759,181
180,21.0,0.000974402999999,191
190,21.0,0.001005035,201
200,21.0,0.001039679,211
210,21.0,0.001077605,221
220,21.0,0.001118083,231
230,21.0,0.001207792,241
240,21.0,0.001247541,251
250,21.0,0.001315005,261
260,21.0,0.001387939,271
270,21.0,0.001420031,281
280,21.0,0.001459051,291
290,21.0,0.00148859,301
300,22.0,0.001518128,311
310,22.0,0.00154329,321
320,22.0,0.001588509,331
330,22.0,0.001617683,341
340,22.0,0.001645398,351
350,22.0,0.001686971,361
360,22.0,0.001720885,371
370,22.0,0.00176501,381
380,22.0,0.001800748,391
390,22.0,0.001862377,401
400,22.0,0.001906137,411
410,22.0,0.001937864,421
420,23.0,0.00196959,431
430,25.0,0.002002411,441
440,25.0,0.002039243,451
450,25.0,0.00207644,461
460,25.0,0.00211546,471
470,25.0,0.002187301,481
480,25.0,0.002228144,491
490,25.0,0.002261329,501
500,25.0,0.002293784,511
510,25.0,0.002454604,521
520,25.0,0.002546865,531
530,25.0,0.002602295,541
540,25.0,0.002635115,551
550,25.0,0.002671218,561
560,25.0,0.002707321,571
570,25.0,0.002739413,581
580,25.0,0.002783174,591
590,25.0,0.002820735,601
600,25.0,0.002852826,611
610,25.0,0.002888199,621
620,25.0,0.002927948,631
630,25.0,0.002959674,641
640,25.0,0.002994682,651
650,25.0,0.00304683,661
660,25.0,0.003085485,671
670,26.0,0.003122317,681
680,26.0,0.003155867,691
690,27.0,0.003192334,701
700,27.0,0.003226978,711
710,27.0,0.003301371,721
720,27.0,0.003334921,731
730,27.0,0.003372118,741
740,28.0,0.003407127,751
750,28.0,0.003440676,761
760,28.0,0.003481519,771
770,29.0,0.003515069,781
780,29.0,0.003549713,791
790,29.0,0.003582169,801
800,30.0,0.003619365,811
810,31.0,0.003666772,821
820,31.0,0.003700686,831
830,31.0,0.00375794,841
840,31.0,0.003794772,851
850,31.0,0.003826498,861
860,31.0,0.003896515,871
870,32.0,0.003942099,881
880,32.0,0.003978202,891
890,33.0,0.004012481,901
900,34.0,0.004055512,911
910,36.0,0.004088332,921
920,37.0,0.004120788,931
930,37.0,0.00415215,941
940,48.0,0.004212321,951
950,48.0,0.004248424,961
960,48.0,0.00430349,971
970,48.0,0.004334851,981
980,48.0,0.004383353,991
990,48.0,0.004428208,1001
1000,48.0,0.004462487,1011
1010,48.0,0.004499684,1021
1020,48.0,0.004535057,1031
1030,49.0,0.004584652,1041
1040,49.0,0.004621484,1051
1050,49.0,0.004657221,1061
1060,50.0,0.004866907,1071
1070,50.0,0.005103215,1081
1080,52.0,0.005180161,1091
1090,52.0,0.005350827,1101
1100,53.0,0.005437619,1111
1110,53.0,0.005489767,1121
1120,53.0,0.005579111,1131
1130,53.0,0.0056907,1141
1140,53.0,0.005744307,1151
1150,53.0,0.005794997,1161
1160,53.0,0.005850427,1171
1170,53.0,0.00594196,1181
1180,53.0,0.005998119,1191
1190,54.0,0.00605209,1201
1200,54.0,0.006145446,1211
1210,54.0,0.006214004,1221
1220,54.0,0.006304442,1231
1230,54.0,0.006359143,1241
1240,54.0,0.006504647,1251
1250,54.0,0.006565912,1261
1260,54.0,0.006602379,1271
1270,54.0,0.006650151,1281
1280,54.0,0.006688806,1291
1290,54.0,0.006726002,1301
1300,54.0,0.006763563,1311
1310,54.0,0.006801124,1321
1320,54.0,0.006836133,1331
1330,54.0,0.006872965,1341
1340,54.0,0.006909432,1351
1350,54.0,0.006946629,1361
1360,54.0,0.006983826,1371
1370,54.0,0.007019928,1381
1380,54.0,0.007057854,1391
1390,54.0,0.00710052,1401
1400,54.0,0.007137716,1411
1410,54.0,0.007188771,1421
1420,54.0,0.007225603,1431
1430,54.0,0.007259517,1441
1440,54.0,0.007356885,1451
1450,54.0,0.007390435,1461
1460,54.0,0.007425079,1471
1470,54.0,0.007483061,1481
1480,54.0,0.007521352,1491
1490,54.0,0.007551619,1501
1500,54.0,0.007586263,1511
1510,54.0,0.00763914,1521
1520,54.0,0.007672325,1531
1530,55.0,0.007710251,1541
1540,55.0,0.007745624,1551
1550,55.0,0.007779174,1561
1560,55.0,0.007821841,1571
1570,60.0,0.007868883,1581
1580,60.0,0.007919937,1591
1590,60.0,0.007953487,1601
1600,60.0,0.008003447,1611
1610,60.0,0.008038456,1621
1620,60.0,0.008074193,1631
1630,60.0,0.00816682,1641
1640,60.0,0.008199641,1651
1650,60.0,0.008232827,1661
1660,60.0,0.008269659,1671
1670,60.0,0.008300656,1681
1680,60.0,0.008392554,1691
1690,60.0,0.008427562,1701
1700,60.0,0.00846403,1711
1710,60.0,0.008498674,1721
1720,60.0,0.008565774,1731
1730,60.0,0.008598595,1741
1740,60.0,0.008639439,1751
1750,60.0,0.008676635,1761
1760,60.0,0.008734982,1771
1770,60.0,0.008774731,1781
1780,60.0,0.008810104,1791
1790,60.0,0.008841466,1801
1800,60.0,0.008875745,1811
1810,60.0,0.008908565,1821
1820,60.0,0.008943938,1831
1830,60.0,0.008978581,1841
1840,60.0,0.009012131,1851
1850,60.0,0.009059903,1861
1860,60.0,0.009110957,1871
1870,60.0,0.009144507,1881
1880,60.0,0.009253179,1891
1890,60.0,0.009286364,1901
1900,60.0,0.009321008,1911
1910,60.0,0.009357111,1921
1920,60.0,0.009391025,1931
1930,60.0,0.009423481,1941
1940,60.0,0.009461771,1951
1950,60.0,0.009492768,1961
1960,60.0,0.009549292,1971
1970,60.0,0.009601805,1981
1980,60.0,0.009634261,1991
1990,60.0,0.009694796,2001
2000,60.0,0.009729804,2011
2010,60.0,0.009764083,2021
2020,60.0,0.009800914,2031
2030,60.0,0.009831181,2041
2040,60.0,0.009868013,2051
2050,60.0,0.009904845,2061
2060,60.0,0.009937665,2071
2070,60.0,0.009972673,2081
2080,60.0,0.010009141,2091
2090,60.0,0.010095568,2101
2100,60.0,0.010133858,2111
2110,60.0,0.01016996,2121
2120,60.0,0.010201322,2131
2130,60.0,0.010264045,2141
2140,60.0,0.010298324,2151
2150,60.0,0.010338073,2161
2160,60.0,0.010373446,2171
2170,60.0,0.01040736,2181
2180,60.0,0.010496704,2191
2190,60.0,0.010529525,2201
2200,64.0,0.010561981,2211
2210,64.0,0.010599177,2221
2220,64.0,0.010657524,2231
2230,64.0,0.010708578,2241
2240,64.0,0.010743222,2251
2250,64.0,0.010778595,2261
2260,64.0,0.010814332,2271
2270,64.0,0.010847882,2281
2280,64.0,0.010881067,2291
2290,64.0,0.010917899,2301
2300,64.0,0.010956919,2311
2310,64.0,0.01099375,2321
2320,64.0,0.011029123,2331
2330,64.0,0.011063038,2341
2340,64.0,0.011098411,2351
2350,64.0,0.011131232,2361
2360,64.0,0.011257773,2371
2370,64.0,0.011314297,2381
2380,64.0,0.011349305,2391
2390,64.0,0.011386137,2401
2400,64.0,0.011420417,2411
2410,64.0,0.011495904,2421
2420,64.0,0.011528724,2431
2430,64.0,0.01156045,2441
2440,64.0,0.011594729,2451
2450,64.0,0.011629373,2461
2460,64.0,0.011679698,2471
2470,64.0,0.011716894,2481
2480,64.0,0.011749349,2491
2490,64.0,0.011783628,2501
2500,64.0,0.011817907,2511
2510,64.0,0.011868961,2521
2520,64.0,0.01190324,2531
2530,64.0,0.011956847,2541
2540,64.0,0.011992585,2551
2550,64.0,0.012023947,2561
2560,64.0,0.012061508,2571
2570,64.0,0.012100163,2581
2580,64.0,0.012189872,2591
2590,64.0,0.012225974,2601
2600,64.0,0.012259524,2611
2610,64.0,0.012292709,2621
2620,64.0,0.01233574,2631
2630,64.0,0.01236856,2641
2640,64.0,0.012403569,2651
2650,64.0,0.01243566,2661
2660,64.0,0.012468845,2671
2670,64.0,0.012503489,2681
2680,64.0,0.012539227,2691
2690,64.0,0.012576058,2701
2700,64.0,0.012608149,2711
2710,64.0,0.012661027,2721
2720,64.0,0.012696036,2731
2730,64.0,0.012732138,2741
2740,64.0,0.012822212,2751
2750,64.0,0.012855033,2761
2760,64.0,0.012888218,2771
2770,64.0,0.012922132,2781
2780,64.0,0.012955682,2791
2790,64.0,0.012992514,2801
2800,64.0,0.013026793,2811
2810,64.0,0.013058884,2821
2820,64.0,0.013094621,2831
2830,64.0,0.013127441,2841
2840,64.0,0.013182506,2851
2850,64.0,0.013215691,2861
2860,64.0,0.013249606,2871
2870,64.0,0.013285344,2881
2880,64.0,0.013319988,2891
2890,64.0,0.013352079,2901
2900,64.0,0.013401309,2911
2910,64.0,0.013452363,2921
2920,65.0,0.013548636,2931
2930,65.0,0.013582551,2941
2940,65.0,0.013614278,2951
2950,65.0,0.013652933,2961
2960,65.0,0.013687576,2971
2970,66.0,0.013724043,2981
2980,66.0,0.013778744,2991
2990,67.0,0.013810106,3001
3000,67.0,0.013844385,3011
3010,67.0,0.013876841,3021
3020,67.0,0.013911485,3031
3030,67.0,0.01394394,3041
3040,67.0,0.014014321,3051
3050,67.0,0.0140486,3061
3060,67.0,0.014104759,3071
3070,67.0,0.014152896,3081
3080,67.0,0.014212337,3091
3090,67.0,0.014248804,3101
3100,67.0,0.014292564,3111
3110,67.0,0.014326479,3121
3120,67.0,0.014361122,3131
3130,67.0,0.014393942,3141
3140,67.0,0.014451195,3151
3150,67.0,0.01448511,3161
3160,67.0,0.014541269,3171
3170,67.0,0.014574819,3181
3180,67.0,0.014607274,3191
3190,67.0,0.014643741,3201
3200,67.0,0.014676926,3211
3210,67.0,0.014713758,3221
3220,67.0,0.014746213,3231
3230,67.0,0.014783409,3241
3240,67.0,0.014818053,3251
3250,67.0,0.014850509,3261
3260,68.0,0.014885153,3271
3270,68.0,0.01491615,3281
3280,68.0,0.014951159,3291
3290,68.0,0.015003672,3301
3300,68.0,0.015036493,3311
3310,68.0,0.015084995,3321
3320,68.0,0.01511818,3331
3330,68.0,0.015152823,3341
3340,69.0,0.015188196,3351
3350,77.0,0.01525019,3361
3360,77.0,0.015291033,3371
3370,77.0,0.015331512,3381
3380,78.0,0.015400071,3391
3390,78.0,0.015431433,3401
3400,81.0,0.015465347,3411
3410,81.0,0.015498897,3421
3420,82.0,0.015530623,3431
3430,82.0,0.01563966,3441
3440,82.0,0.01568889,3451
3450,82.0,0.015724992,3461
3460,82.0,0.015796103,3471
3470,82.0,0.015828194,3481
3480,82.0,0.015862473,3491
3490,82.0,0.015951088,3501
3500,82.0,0.015986461,3511
3510,82.0,0.016021105,3521
3520,82.0,0.016055384,3531
3530,82.0,0.016089298,3541
3540,82.0,0.016121754,3551
3550,82.0,0.016157127,3561
3560,82.0,0.016190677,3571
3570,82.0,0.016221674,3581
3580,82.0,0.016255953,3591
3590,82.0,0.016287315,3601
3600,82.0,0.016320865,3611
3610,82.0,0.016356603,3621
3620,82.0,0.016389423,3631
3630,82.0,0.016424796,3641
3640,82.0,0.016462357,3651
3650,82.0,0.016493719,3661
3660,82.0,0.016526904,3671
3670,82.0,0.016563007,3681
3680,82.0,0.016597286,3691
3690,82.0,0.016635941,3701
3700,82.0,0.016676055,3711
3710,82.0,0.016711428,3721
3720,82.0,0.016759565,3731
3730,82.0,0.016800773,3741
3740,83.0,0.016836511,3751
3750,85.0,0.01687079,3761
3760,85.0,0.016903246,3771
3770,86.0,0.016934244,3781
3780,86.0,0.016967794,3791
3790,86.0,0.016998062,3801
3800,86.0,0.017030518,3811
3810,86.0,0.017066621,3821
3820,86.0,0.017098347,3831
3830,86.0,0.017131532,3841
3840,86.0,0.017165446,3851
3850,86.0,0.017206654,3861
3860,86.0,0.017237286,3871
3870,86.0,0.017270106,3881
3880,86.0,0.017304385,3891
3890,86.0,0.017334653,3901
3900,86.0,0.017367109,3911
3910,86.0,0.017398835,3921
3920,86.0,0.017429468,3931
3930,86.0,0.017463747,3941
3940,86.0,0.017500943,3951
3950,86.0,0.017531576,3961
3960,86.0,0.01756622,3971
