iterations,fitness,time
0,3589.50873417,0.016135985
10,3748.52293085,0.030147393
20,3802.09387365,0.042320492
30,3786.3221481,0.052931703
40,3774.92158936,0.066445335
50,3774.92158936,0.076415454
60,3774.92158936,0.086550769
70,3774.92158936,0.096328706
80,3774.92158936,0.105903886
90,3774.92158936,0.115431658
100,3774.92158936,0.124989333
110,3774.92158936,0.136125307
120,3774.92158936,0.146766787
130,3774.92158936,0.156959356
140,3774.92158936,0.167609222
150,3774.92158936,0.178125254
160,3774.92158936,0.188299953
170,3774.92158936,0.198301433
180,3774.92158936,0.208768599
190,3774.92158936,0.219001281
200,3774.92158936,0.231291804
210,3774.92158936,0.241661238
220,3774.92158936,0.252250934
230,3774.92158936,0.263565597
240,3774.92158936,0.273509095
250,3774.92158936,0.283065676
260,3774.92158936,0.293077368
270,3774.92158936,0.302860775
280,3774.92158936,0.312554108
290,3774.92158936,0.322380546
300,3774.92158936,0.332941068
310,3774.92158936,0.343088417
320,3774.92158936,0.353337874
330,3774.92158936,0.363867764
340,3778.89950868,0.3783981
350,3774.92158936,0.391499653
360,3774.92158936,0.402716949
370,3774.92158936,0.413827031
380,3774.92158936,0.424147599
390,3778.90337034,0.43462607
400,3774.92158936,0.445498751
410,3774.92158936,0.456479739
420,3774.92158936,0.467321423
430,3774.92158936,0.478399049
440,3774.92158936,0.488508473
450,3774.92158936,0.498610238
460,3774.92158936,0.508922054
470,3774.92158936,0.518633621
480,3774.92158936,0.528916993
490,3774.92158936,0.539035533
500,3774.92158936,0.549026802
510,3774.92158936,0.561697313
520,3774.92158936,0.572525868
530,3774.92158936,0.582745058
540,3774.92158936,0.593201284
550,3774.92158936,0.603119254
560,3774.92158936,0.612833009
570,3774.92158936,0.622534365
580,3774.92158936,0.632373202
590,3774.92158936,0.642523834
600,3774.92158936,0.653540924
610,3774.92158936,0.663966882
620,3774.92158936,0.674789238
630,3774.92158936,0.684752793
640,3774.92158936,0.695172187
650,3774.92158936,0.7053323
660,3774.92158936,0.715380823
670,3774.92158936,0.727809193
680,3774.92158936,0.738097305
690,3774.92158936,0.747782616
700,3774.92158936,0.757280485
710,3774.92158936,0.766813362
720,3774.92158936,0.776252519
730,3774.92158936,0.785913032
740,3774.92158936,0.796329508
750,3774.92158936,0.806571307
760,3774.92158936,0.816812741
770,3774.92158936,0.82737691
780,3774.92158936,0.842607415
790,3774.92158936,0.85229929
800,3774.92158936,0.862215437
810,3774.92158936,0.871830365
820,3774.92158936,0.881927025
830,3774.92158936,0.89361657
840,3774.92158936,0.903288387
850,3774.92158936,0.913568112
860,3774.92158936,0.923943016
870,3774.92158936,0.934068485
880,3774.92158936,0.944656357
890,3774.92158936,0.954955045
900,3774.92158936,0.965257015
910,3774.92158936,0.975304444
920,3774.92158936,0.985902891
930,3774.92158936,0.995879574
940,3774.92158936,1.005821248
950,3774.92158936,1.015573658
960,3774.92158936,1.025855935
970,3774.92158936,1.035285975
980,3774.92158936,1.04707544
990,3774.92158936,1.056750904
1000,3774.92158936,1.066351246
1010,3774.92158936,1.075988784
1020,3774.92158936,1.085611371
1030,3774.92158936,1.095045423
1040,3774.92158936,1.10474605
1050,3774.92158936,1.115473227
1060,3774.92158936,1.126164302
1070,3774.92158936,1.136096131
1080,3774.92158936,1.146344859
1090,3774.92158936,1.156632971
1100,3774.92158936,1.166775944
1110,3774.92158936,1.176824832
1120,3774.92158936,1.186921128
1130,3774.92158936,1.196938654
1140,3774.92158936,1.208472849
1150,3774.92158936,1.218344142
1160,3774.92158936,1.228812038
1170,3774.92158936,1.238619148
1180,3774.92158936,1.248214749
1190,3774.92158936,1.25771043
1200,3774.92158936,1.267101451
1210,3774.92158936,1.276987331
1220,3774.92158936,1.286441804
1230,3774.92158936,1.296779512
1240,3774.92158936,1.306521346
1250,3795.95331627,1.31621468
1260,3774.92158936,1.325878111
1270,3774.92158936,1.335723148
1280,3774.92158936,1.345738122
1290,3774.92158936,1.355971898
1300,3774.92158936,1.368507117
1310,3774.92158936,1.378558558
1320,3774.92158936,1.388962636
1330,3774.92158936,1.399222304
1340,3774.92158936,1.40946775
1350,3774.92158936,1.419817491
1360,3774.92158936,1.431587629
1370,3774.92158936,1.44189981
1380,3774.92158936,1.451826168
1390,3774.92158936,1.462772877
1400,3774.92158936,1.47285495
1410,3774.92158936,1.483162025
1420,3774.92158936,1.49317554
1430,3774.92158936,1.503221875
1440,3774.92158936,1.513323275
1450,3774.92158936,1.523388573
1460,3774.92158936,1.535680555
1470,3774.92158936,1.54583775
1480,3774.92158936,1.555961396
1490,3774.92158936,1.566279047
1500,3776.90823129,1.576659786
1510,3774.92158936,1.586838497
1520,3774.92158936,1.59726956
1530,3774.92158936,1.607655769
1540,3774.92158936,1.617998582
1550,3787.14780799,1.628253874
1560,3774.92158936,1.638256449
1570,3774.92158936,1.648459593
1580,3774.92158936,1.658785996
1590,3774.92158936,1.668949756
1600,3774.92158936,1.67934107
1610,3774.92158936,1.689355314
1620,3774.92158936,1.70138218
1630,3774.92158936,1.711438726
1640,3774.92158936,1.721257871
1650,3774.92158936,1.731547807
1660,3774.92158936,1.742752339
1670,3774.92158936,1.752966423
1680,3774.92158936,1.763234843
1690,3774.92158936,1.773301235
1700,3774.92158936,1.783728652
1710,3774.92158936,1.793675797
1720,3774.92158936,1.804560512
1730,3774.92158936,1.814439827
1740,3774.92158936,1.824245479
1750,3774.92158936,1.834476338
1760,3774.92158936,1.844937304
1770,3774.92158936,1.854904505
1780,3774.92158936,1.866223544
1790,3774.92158936,1.876398973
1800,3774.92158936,1.886602481
1810,3774.92158936,1.896632406
1820,3774.92158936,1.906417272
1830,3774.92158936,1.916913611
1840,3774.92158936,1.926632471
1850,3774.92158936,1.936656196
1860,3774.92158936,1.946438874
1870,3774.92158936,1.956563249
1880,3812.97746239,1.96604179
1890,3774.92158936,1.975672035
1900,3774.92158936,1.985305198
1910,3774.92158936,1.995057243
1920,3774.92158936,2.004831533
1930,3774.92158936,2.014572639
1940,3774.92158936,2.026945213
1950,3774.92158936,2.037293496
1960,3774.92158936,2.047858394
1970,3774.92158936,2.057942655
1980,3774.92158936,2.068126471
1990,3774.92158936,2.078954298
2000,3774.92158936,2.089375515
2010,3774.92158936,2.099713952
2020,3774.92158936,2.109727831
2030,3774.92158936,2.120436774
2040,3782.37478811,2.130464146
2050,3802.09387365,2.140508658
2060,3774.92158936,2.150967802
2070,3774.92158936,2.161185533
2080,3774.92158936,2.172216846
2090,3774.92158936,2.182557106
2100,3774.92158936,2.194465818
2110,3774.92158936,2.204152587
2120,3774.92158936,2.213785749
2130,3774.92158936,2.223299299
2140,3774.92158936,2.232805556
2150,3774.92158936,2.242497065
2160,3804.30667578,2.251994934
2170,3774.92158936,2.261511401
2180,3774.92158936,2.271035162
2190,3774.92158936,2.280527561
2200,3774.92158936,2.290106023
2210,3774.92158936,2.299720952
2220,3774.92158936,2.309929931
2230,3774.92158936,2.319463538
2240,3791.00877368,2.329448608
2250,3774.92158936,2.339152882
2260,3774.92158936,2.350527715
2270,3774.92158936,2.360860318
2280,3774.92158936,2.371317273
2290,3774.92158936,2.381592257
2300,3785.75900266,2.391870159
2310,3774.92158936,2.401938374
2320,3774.92158936,2.412889095
2330,3774.92158936,2.423088228
2340,3774.92158936,2.433473343
2350,3774.92158936,2.444024019
2360,3774.92158936,2.454523276
2370,3774.92158936,2.464452551
2380,3786.18947256,2.474362135
2390,3774.92158936,2.484020095
2400,3774.92158936,2.493503377
2410,3774.92158936,2.503165714
2420,3774.92158936,2.514537995
2430,3774.92158936,2.52412922
2440,3774.92158936,2.53392065
2450,3774.92158936,2.544196728
2460,3774.92158936,2.554149343
2470,3774.92158936,2.564224487
2480,3774.92158936,2.574288691
2490,3774.92158936,2.58489115
2500,3774.92158936,2.595050533
2510,3774.92158936,2.605533016
2520,3774.92158936,2.615760228
2530,3774.92158936,2.626007497
2540,3774.92158936,2.636008248
2550,3774.92158936,2.6461979
2560,3774.92158936,2.655809546
2570,3774.92158936,2.665755961
2580,3774.92158936,2.677488172
2590,3774.92158936,2.687678187
2600,3774.92158936,2.697452842
2610,3774.92158936,2.706923361
2620,3774.92158936,2.716948545
2630,3774.92158936,2.726531018
2640,3774.92158936,2.736263736
