iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.186102296665,0.18668552462,0.248847008859,0.245366987712,1.515941615
10,0.185603929113,0.186183363084,0.248847008859,0.245300564596,17.381176899
20,0.180777684796,0.181316126595,0.248847008859,0.245300564596,33.204278036
30,0.177791452943,0.178305366459,0.248847008859,0.245300564596,49.285954971
40,0.176649853104,0.177154565099,0.248847008859,0.245300564596,65.125711751
50,0.176146804355,0.176647036104,0.248847008859,0.245300564596,81.113085729
60,0.176125368193,0.17662407085,0.248847008859,0.245300564596,97.074184759
70,0.176083904037,0.176582577664,0.248847008859,0.245300564596,113.180639663
80,0.172970597545,0.173442549451,0.248847008859,0.245300564596,129.205211591
90,0.172376230854,0.172843930126,0.248847008859,0.245300564596,145.092764039
100,0.172108839037,0.172575784378,0.248847008859,0.245234141481,160.981193522
110,0.172398989877,0.172867096988,0.248847008859,0.245300564596,176.902687041
120,0.166595309613,0.167011677695,0.248847008859,0.245300564596,193.303778285
130,0.15972154645,0.160074177619,0.248681110853,0.24496844902,209.581164934
140,0.159124184943,0.159470827991,0.24858157205,0.244769179675,225.40562484
150,0.157413291321,0.157744701104,0.24858157205,0.244769179675,241.913544775
160,0.157048209701,0.157376263247,0.24858157205,0.244769179675,258.585501974
170,0.157485236493,0.157817253249,0.248681110853,0.24496844902,274.967807892
180,0.154522263112,0.154821720191,0.24858157205,0.244769179675,291.463609429
190,0.154521857683,0.154820699151,0.248647931252,0.245034872136,307.750883417
200,0.153723867942,0.15401456356,0.248647931252,0.245034872136,324.220593437
210,0.15370628763,0.153995839213,0.248647931252,0.245034872136,341.285281055
220,0.151820979327,0.152093836371,0.248647931252,0.245034872136,358.263504695
230,0.151617645077,0.151887285118,0.248647931252,0.245034872136,374.022567328
240,0.150431815135,0.150691496895,0.248647931252,0.245034872136,390.443737749
250,0.148353746906,0.148592170287,0.248647931252,0.245034872136,405.499878196
