,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.4905141830444336,0.18067630637678606,0.00624995231628418,0.007654597402632716,0.1,"(32, 32)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 2}",0.8035548041830635,0.8190134083193306,0.8111942893199466,0.852259475948668,0.7842734521770607,0.814059085989614,0.022313879450315263,1195
1,0.8561648845672607,0.13714209949684955,0.0,0.0,0.1,"(32, 32)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 3}",0.826659746297555,0.8338905844564086,0.8546825659141996,0.8543413158659094,0.8301848187368455,0.8399518062541835,0.012106730192445642,1175
2,0.9079639434814453,0.3243312547345857,0.0,0.0,0.1,"(32, 32)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 4}",0.8432207988028808,0.8559262942514546,0.878493520541536,0.8740014680190755,0.8374183181881268,0.8578120799606147,0.016261521841497553,1155
3,0.7751147270202636,0.18621905517180512,0.0,0.0,0.1,"(32, 32)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 5}",0.920760821762895,0.931775316347176,0.9323509338232453,0.9219989669495394,0.9112957343028555,0.9236363546371423,0.007815717831314774,1128
4,0.862821388244629,0.11372863343188239,0.0007568836212158203,0.0015137672424316406,0.1,"(32, 32)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 6}",0.9600420076876068,0.9686581964495959,0.972042535351931,0.9672120944168059,0.9623816534816805,0.966067297477524,0.004327005289758671,769
5,0.919618558883667,0.11132443784138493,0.0,0.0,0.1,"(32, 32)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 7}",0.9683029008435806,0.963838688659511,0.975150987049668,0.953064883295345,0.9637609618529663,0.9648236843402141,0.007198987794387646,801
6,1.0218095779418945,0.23227312158931457,0.0,0.0,0.1,"(32, 32)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 8}",0.9421273424069176,0.9734777042396808,0.9754965295513957,0.955480819171814,0.9551309842166488,0.9603426759172914,0.01252809646581685,901
7,0.9022892475128174,0.1552815119893452,0.0021018505096435545,0.004203701019287108,0.1,"(32, 32)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 9}",0.9562517491304324,0.9579818364710857,0.9713543119841007,0.9554779575361889,0.9406339381400227,0.956339958652366,0.009752501996103106,952
8,0.9853192806243897,0.15509093483692388,0.0034806251525878905,0.006961250305175781,0.1,"(32, 32)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 10}",0.9641635301307351,0.9614225049438175,0.9537488142097378,0.971008769482373,0.9734204129054042,0.9647528063344135,0.007025531653255293,806
9,1.1908259868621827,0.2753323097779164,0.006239509582519532,0.007641830235963957,0.1,"(32, 32)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 11}",0.9648546151341906,0.9748565435570339,0.9716998544858284,0.9654886743616048,0.9630741693029485,0.9679947713683212,0.004498110415385551,709
10,1.042167568206787,0.21069114012756973,0.00452718734741211,0.006156000351468409,0.1,"(32, 32)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 12}",0.9648617544420773,0.9724403598413405,0.9730805936749268,0.9620375417977653,0.9713528811662883,0.9687546261844796,0.004456977211726604,677
11,0.9779403686523438,0.2620060388278304,0.0,0.0,0.1,"(32, 32)",13,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 13}",0.9579758919851274,0.9528036875735857,0.9696280302932747,0.9554765267183765,0.9506403625120009,0.9573048998164732,0.00663821802237222,938
12,1.0870495319366456,0.250027637455962,0.003109121322631836,0.006218242645263673,0.1,"(32, 32)",14,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 14}",0.939687126971163,0.9789887749619924,0.9658313552277075,0.9754965295513957,0.971008769482373,0.9662025112389264,0.013972621760735009,765
13,0.9063031196594238,0.15177654228578016,0.0,0.0,0.1,"(32, 32)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 15}",0.971056531895572,0.9634714744578946,0.9703176844789176,0.9727321895375739,0.9710102003001855,0.9697176161340287,0.003222591811115619,663
14,1.1172086238861083,0.30373598276596986,0.0031252384185791017,0.0062504768371582035,0.1,"(32, 32)",16,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 16}",0.9589911015666498,0.9600179463438611,0.973765955407132,0.9647961585403368,0.9661711744581851,0.9647484672632329,0.005270038910267116,808
15,0.9578896999359131,0.16157562956335775,0.0005886554718017578,0.0011773109436035156,0.1,"(32, 32)",17,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 17}",0.9651965879819746,0.9610510041951006,0.9727321895375739,0.9703162536611051,0.9682415678329263,0.9675075206417361,0.004068217936830569,721
16,1.2894745826721192,0.0347980989991297,0.003142642974853516,0.006285285949707032,0.1,"(32, 32)",18,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 18}",0.9683064704975243,0.9662291530926009,0.9703176844789176,0.9758392104174983,0.9606525101552295,0.9682690057283541,0.004973499589996912,698
17,1.027918767929077,0.15571426451115558,0.0031251430511474608,0.0062502861022949215,0.1,"(32, 32)",19,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 19}",0.974155705449291,0.9731190631322656,0.9751481254140428,0.9651402702242521,0.9682444294685513,0.9711615187376805,0.003832884302383932,643
18,0.9149783611297607,0.27008282718831916,0.0008013248443603516,0.0016026496887207031,0.1,"(32, 32)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 20}",0.9565830130163862,0.9638086828298069,0.9706560728915826,0.9748025829123153,0.9592732017839437,0.9650247106868068,0.006828467815070168,796
19,1.0918969631195068,0.21696992067542095,0.0031232833862304688,0.0062465667724609375,0.1,"(32, 32)",21,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 21}",0.9638215572829508,0.97243607329424,0.9730748704036766,0.9806696513526236,0.9623787918460555,0.9704761888359092,0.006698551039997293,652
20,0.7806276798248291,0.15617029280955588,0.0031246662139892576,0.006249332427978514,0.1,"(32, 32)",22,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 22}",0.9614170383866307,0.9614053587554152,0.960995191021332,0.958238005096573,0.9613421643408724,0.9606795515201647,0.001230489008839069,895
21,0.9459815979003906,0.12494166365771991,0.0,0.0,0.1,"(32, 32)",23,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 23}",0.9658841033314867,0.9748436839157321,0.9623787918460555,0.96583278604552,0.9713500195306631,0.9680578769338914,0.004445530515994282,707
22,0.9660718441009521,0.15408454190308954,0.0009719371795654297,0.0019438743591308593,0.1,"(32, 32)",24,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 24}",0.971744047245084,0.9710529474297863,0.9699707111593773,0.969282487791547,0.9668665519150781,0.9697833491081745,0.0016881877587934225,662
23,0.879435682296753,0.2682021663240719,0.003123903274536133,0.006247806549072267,0.1,"(32, 32)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 25}",0.9686413040374213,0.9772470079901238,0.9713500195306631,0.9703119612076674,0.9682458602863638,0.9711592306104478,0.0032447798122481313,646
24,0.960316514968872,0.049305836229766795,0.0032316207885742187,0.006463241577148437,0.1,"(32, 32)",26,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 26}",0.9741521357953474,0.9744936159025183,0.9734218437232168,0.9751495562318554,0.966863690279453,0.9728161683864782,0.0030279424086904964,603
25,0.7767704963684082,0.1737655019944181,0.006722450256347656,0.0072675309101795,0.1,"(32, 32)",27,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 27}",0.9624393872760401,0.9762182366859845,0.9737673862249446,0.9772199496065965,0.9748025829123151,0.9728895085411763,0.0053566539577675825,601
26,0.7433753967285156,0.13271503155581,0.003110170364379883,0.006220340728759766,0.1,"(32, 32)",28,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 28}",0.9669207308366697,0.9800132597190311,0.9782508538405296,0.971008769482373,0.9713514503484756,0.9735090128454157,0.0048806154539214625,583
27,0.7904833793640137,0.14124669823024844,0.0,0.0,0.1,"(32, 32)",29,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 29}",0.9727735354423802,0.9731190631322656,0.972042535351931,0.963416850169051,0.9761861837370386,0.9715076335665331,0.004285672418828134,633
28,0.7738375186920166,0.09537924020059968,0.006246089935302734,0.00764988837288711,0.1,"(32, 32)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 30}",0.9662260761792709,0.9837997096578762,0.9747982904588777,0.9706617961628328,0.9606525101552295,0.9712276765228174,0.007848256765804092,641
29,0.706576156616211,0.10951095546161572,0.009356927871704102,0.00763993900327806,0.1,"(32, 32)",31,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 31}",0.9720824504389247,0.9810463175702706,0.9689355144720068,0.9841222147342756,0.9592746326017562,0.9730922259634468,0.008878648646234244,594
30,0.7920613765716553,0.14219314197086833,0.0004169940948486328,0.0008339881896972656,0.1,"(32, 32)",33,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 33}",0.9782915065081931,0.9813920990363841,0.971698423668016,0.9741143595444848,0.9720411045341185,0.9755074986582393,0.00376417317386497,541
31,0.7328010082244873,0.08910914162494586,0.003124094009399414,0.006248188018798828,0.1,"(32, 32)",34,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 34}",0.9713949350894127,0.9803590411851445,0.9837752414147354,0.9806710821704362,0.9748025829123153,0.9782005765544088,0.004465475840438571,492
32,0.7464334487915039,0.050745571241584235,0.0,0.0,0.1,"(32, 32)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 35}",0.9676082461861818,0.9803547546380438,0.9799799971669807,0.9754965295513958,0.9678988869668236,0.9742676829018851,0.005587534334664681,572
33,0.7240673542022705,0.057413753801481275,0.009363412857055664,0.0076452502089744976,0.1,"(32, 32)",36,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 36}",0.9731226475980513,0.9824208703405232,0.9754936679157706,0.9789462312974226,0.9644506160386093,0.9748868066380755,0.00609320369583534,554
34,0.8682427406311035,0.17268603851223127,0.006253576278686524,0.007659191775932559,0.1,"(32, 32)",37,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 37}",0.978979021857705,0.9710572339768869,0.9789433696617976,0.9806725129882486,0.9779096037922396,0.9775123484553756,0.0033469958819879017,509
35,0.6845316410064697,0.04478461790358289,0.0025207996368408203,0.005041599273681641,0.1,"(32, 32)",38,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 38}",0.9786406186638643,0.9868988832115952,0.9841222147342757,0.9806725129882486,0.9765288646031411,0.981372618840225,0.0037286942422175367,424
36,0.6696910381317138,0.059290630791515815,0.0,0.0,0.1,"(32, 32)",39,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 39}",0.9769129061552257,0.9900023433124149,0.981360736356079,0.9765317262387663,0.9737645245893194,0.9797144473303611,0.005690887425015261,466
37,0.6816897869110108,0.09076858361713191,0.0017596721649169923,0.0035193443298339845,0.1,"(32, 32)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 40}",0.9813942497158554,0.9844826994959021,0.9796358854830655,0.9792917737991504,0.9761818912836009,0.9801972999555149,0.0027223522395806105,455
38,0.6721456050872803,0.10172105846459877,0.0031318187713623045,0.006263637542724609,0.1,"(32, 32)",41,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 41}",0.976574502961385,0.9786301338545774,0.9855015231055614,0.9872292356141998,0.9716955620323908,0.9799261915136228,0.005745878849386547,460
39,0.6555286884307862,0.11389522886268416,0.0016584396362304688,0.0033168792724609375,0.1,"(32, 32)",42,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 42}",0.9769164758091692,0.9841369180297885,0.9858470656072891,0.9789448004796101,0.9892981981711286,0.983028691619397,0.004528033989866923,389
40,0.6981756210327148,0.10215472910196916,0.0,0.0,0.1,"(32, 32)",43,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 43}",0.9741592751032344,0.9851785489752295,0.9855015231055614,0.9806696513526236,0.9861926081090168,0.9823403213291331,0.004530110413610843,401
41,0.6621612548828125,0.07168882085018559,0.0060291290283203125,0.007392555935474341,0.1,"(32, 32)",44,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 44}",0.9755378754562017,0.9879405141570361,0.9844691880538159,0.9886085439854858,0.9810166246721638,0.9835145492649406,0.004823198834351522,380
42,0.5866698741912841,0.08864214571803868,0.0006597995758056641,0.0013195991516113282,0.1,"(32, 32)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 45}",0.9844969929235181,0.9875904461438222,0.9834325605486328,0.9882615706659454,0.9879174589820303,0.9863398058527899,0.0019796113397166043,321
43,0.6484584331512451,0.05716893590562373,0.0,0.0,0.1,"(32, 32)",46,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 46}",0.9751923329544742,0.9931015168661339,0.9861954697446419,0.9910230490441421,0.9844677572360034,0.985996025169079,0.006242661736459408,330
44,0.555265235900879,0.06539316560115617,0.006338739395141601,0.007764620049915167,0.1,"(32, 32)",47,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 47}",0.9758762786500427,0.9944803561834871,0.9823987946790746,0.9820503905417219,0.9851574114216461,0.9839926462951946,0.006058661248793502,368
45,0.6605475425720215,0.17686036681601985,0.006223917007446289,0.006469493783899495,0.1,"(32, 32)",48,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 48}",0.9803611918646159,0.9937973663454613,0.9861940389268293,0.9941300699240665,0.9955122399309773,0.98999898139839,0.005818147721903805,254
46,0.5954768180847168,0.10993534843964561,0.003125762939453125,0.00625152587890625,0.1,"(32, 32)",49,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'pca__n_components': 49}",0.9793245643594327,0.9937973663454613,0.9927507615527805,0.9917141340475975,0.9892996289889412,0.9893772910588426,0.005242929512344601,264
