,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.017033863067627,0.5357046243625337,0.0,0.0,0.1,"(32, 32)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 2}",0.3065178360593141,0.31749577671218177,0.4276031671764237,0.3085010324616907,0.31094529291659173,0.3342126210652404,0.04684165337024092,201
1,0.6849794864654541,0.17562443738992126,0.0,0.0,0.1,"(32, 32)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 3}",0.41310291878684235,0.45665918443471126,0.4743116775802364,0.44526199292523855,0.4399538929088005,0.44585793332716583,0.020171199286450676,191
2,0.7941596031188964,0.16651323085893682,0.004059314727783203,0.0058750226616650246,0.1,"(32, 32)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 4}",0.5614127640964818,0.5984206222411692,0.5948065834382908,0.5913321968282018,0.5616364466498983,0.5815217226508084,0.016480898961313883,168
3,0.9910310745239258,0.25619398047265823,0.006952238082885742,0.0085869247866826,0.1,"(32, 32)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 5}",0.7561675376257175,0.7375061190974478,0.7536047029360702,0.7494732228616618,0.6612708978319047,0.7316044960705603,0.035744335789740844,126
4,0.9217100143432617,0.32879299689359603,0.0011777877807617188,0.0014682790108163917,0.1,"(32, 32)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 6}",0.6776577797702747,0.524311173249555,0.7951088139362574,0.7523347496117027,0.7048693419384415,0.6908563717012463,0.0924727332283493,160
5,1.1228139400482178,0.18794682394981882,0.0031276226043701174,0.006255245208740234,0.1,"(32, 32)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 7}",0.8133792180199092,0.7731964584515801,0.7826575448788287,0.7693407566305193,0.7767634826292565,0.7830674921220188,0.015777007905888887,103
6,0.766820240020752,0.23784476965131074,0.009495115280151368,0.007755524267434319,0.1,"(32, 32)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 8}",0.913031782779837,0.8978797037934875,0.9155045073341986,0.7272254531769669,0.7777901396897753,0.846286317354853,0.07845407349084142,98
7,0.9393452167510986,0.19198593664506636,0.0033102989196777343,0.006620597839355469,0.1,"(32, 32)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 9}",0.8646491288007441,0.8905814623905376,0.9148856486796256,0.8652657398501767,0.7777998458761787,0.8626363651194525,0.04630143825080913,52
8,0.9466363906860351,0.17128550731300313,0.006726121902465821,0.007375278330062703,0.1,"(32, 32)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 10}",0.8594541463877708,0.8930961811890434,0.916997141053462,0.8629253229545036,0.7462955348246452,0.855753665281885,0.05863690881389042,70
9,1.3023489475250245,0.3222743745356919,0.006481790542602539,0.007739660856087242,0.1,"(32, 32)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 15}",0.900019421528656,0.8950684564827854,0.9131879421157465,0.9061106545380028,0.8989068189341413,0.9026586587198665,0.006347206136375192,32
10,1.6173557758331298,0.35589304138084976,0.012769937515258789,0.006392181981596111,0.1,"(32, 32)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 20}",0.9190402979343185,0.9053082128100901,0.9155659921014214,0.904051069313073,0.9221010675898081,0.9132133279497422,0.007278988287086681,8
11,0.4910884380340576,0.12087578325782693,0.0032343387603759764,0.006468677520751953,0.1,"(32,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'gmm__n_components': 2}",0.254743421890396,0.2628351884280398,0.2756937776892812,0.32167777992837593,0.26120313266904355,0.2752306601210273,0.024197915577614016,219
12,0.5609721183776856,0.05850838697762652,0.0031246662139892576,0.006249332427978514,0.1,"(32,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'gmm__n_components': 3}",0.40353818032904076,0.41730266908509817,0.4273103521012789,0.45343441200941187,0.45692901549065434,0.43170292580309677,0.020632634725349482,197
13,0.7404947757720948,0.28323004224288995,0.0,0.0,0.1,"(32,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'gmm__n_components': 4}",0.5592064761759081,0.564239755962554,0.5851682094662304,0.6293749627189041,0.5516151734760215,0.5779209155599236,0.028033689282627245,171
14,1.009206199645996,0.30084991473955774,0.0,0.0,0.1,"(32,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'gmm__n_components': 5}",0.7284939848402658,0.7306766027858888,0.7260096961240041,0.73287423685098,0.6622362997422835,0.7160581640686845,0.027007238890447798,149
15,0.9242642879486084,0.17471801059696482,0.0034455299377441407,0.00639329808851565,0.1,"(32,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'gmm__n_components': 6}",0.6789008036563615,0.664932720486865,0.7734931305516143,0.7628803178389709,0.7057528887526398,0.7171919722572904,0.0437843373071454,147
16,0.819413137435913,0.21328139998845647,0.0,0.0,0.1,"(32,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'gmm__n_components': 7}",0.7871238890253919,0.7703242888626572,0.7714612264784868,0.7537363558977159,0.7714008122236098,0.7708093144975724,0.010570348774127382,117
17,0.7255014419555664,0.2069943644322302,0.006329584121704102,0.007551373218001574,0.1,"(32,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'gmm__n_components': 8}",0.9149319013946529,0.900474021615065,0.9128052447552053,0.7403742698591338,0.7782161930948516,0.8493603261437815,0.07466853041942934,92
18,0.7720171928405761,0.20364491047138916,0.0031064033508300783,0.006212806701660157,0.1,"(32,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'gmm__n_components': 9}",0.863088348524443,0.8834105921455365,0.9084474277176713,0.8639817368973849,0.7787513472226173,0.8595358905015307,0.043636837173193284,62
