,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.8481818199157715,0.19505122520887613,0.0035593509674072266,0.006095497583113738,0.1,"(32, 32)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'km__n_clusters': 2}",0.7385470102751525,0.7364778601754487,0.7439854499834165,0.7214845113401286,0.725322113818797,0.7331633891185887,0.008425768582123948,210
1,1.2863824367523193,0.5118580413224645,0.004618930816650391,0.006570574698908986,0.1,"(32, 32)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'km__n_clusters': 3}",0.8676454521977491,0.8806894788722606,0.8805823314923727,0.8694484265840557,0.7735600513873143,0.8543851481067506,0.04077657297306408,190
2,0.9000222206115722,0.05587901803851762,0.0,0.0,0.1,"(32, 32)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'km__n_clusters': 4}",0.8783617965386936,0.8881286325466645,0.8964746181738391,0.8812548519420547,0.879453992168768,0.884734778274004,0.00678164542071413,6
3,0.7536099910736084,0.31606950849817944,0.0,0.0,0.1,"(32, 32)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'km__n_clusters': 5}",0.8786692825495905,0.8715479343257441,0.8915227116094913,0.8795669015892201,0.8814163760296378,0.8805446412207368,0.006429488796543452,93
4,0.6312948703765869,0.07592017345638735,0.006249046325683594,0.007653487438469435,0.1,"(32, 32)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'km__n_clusters': 6}",0.8791889725541219,0.8885698669952308,0.8827428159059788,0.884713717513381,0.8860896029421615,0.8842609951821748,0.003166872968862399,10
5,0.5336230754852295,0.06533636093797657,0.00020198822021484376,0.0004039764404296875,0.1,"(32, 32)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'km__n_clusters': 7}",0.8777247190806555,0.8744112450443359,0.8875701484290669,0.8772533009161756,0.8831376361131318,0.8800194099166732,0.004713925433557083,107
6,0.6563145637512207,0.11222131802574227,0.0,0.0,0.1,"(32, 32)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'km__n_clusters': 8}",0.880692518816983,0.873087298818339,0.886378927305007,0.8729661643876494,0.876160763160643,0.8778571344977243,0.00510315497760762,148
7,0.7560683727264405,0.10447881923634104,0.0,0.0,0.1,"(32, 32)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'km__n_clusters': 9}",0.8763176836881308,0.8800052242736113,0.8887052464015747,0.8833839491508224,0.8842838144262473,0.8825391835880773,0.00416906960963456,40
8,0.7457635402679443,0.13719295564689887,0.006385517120361328,0.007823613888465013,0.1,"(32, 32)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'km__n_clusters': 10}",0.8806454182355377,0.8840153392758215,0.8908050405973993,0.8804713525590863,0.8816272637776745,0.8835128828891039,0.003858933691694167,16
9,0.8040015220642089,0.03827225019296899,0.0,0.0,0.1,"(32, 32)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'km__n_clusters': 15}",0.8776863508265456,0.8862353231367438,0.8918819077005868,0.8748472170703535,0.8792659464490553,0.881983349036657,0.006210210902254017,53
10,0.9125496864318847,0.05050937178868347,0.0,0.0,0.1,"(32, 32)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'km__n_clusters': 20}",0.8777118657186481,0.8820505437407431,0.8906520726359768,0.8850950891591483,0.8755931605937168,0.8822205463696466,0.005359719689648147,48
11,0.6470139503479004,0.0901039835306975,0.0031266212463378906,0.006253242492675781,0.1,"(32,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'km__n_clusters': 2}",0.725185533033827,0.7277001803042873,0.7237877333564124,0.7074328948051937,0.7183154669720696,0.720484361694358,0.007212852511835173,219
12,0.9338634490966797,0.22568628837800886,0.005112600326538086,0.006335493482078387,0.1,"(32,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'km__n_clusters': 3}",0.8551916114465221,0.8550253112531152,0.8730351679322066,0.7618959878625231,0.7495747949952853,0.8189445746979306,0.05216927658261104,198
13,0.6569489479064942,0.08400794817255201,0.003327035903930664,0.006160737600119673,0.1,"(32,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'km__n_clusters': 4}",0.8702935054576707,0.8722097610429608,0.8823339964929781,0.8642939368393189,0.8746128787282732,0.8727488157122403,0.005884802913702478,179
14,0.5566064357757569,0.06059374818903248,0.0,0.0,0.1,"(32,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'km__n_clusters': 5}",0.8799230870549072,0.8800596149956043,0.8896634768906793,0.871807440737876,0.881567133536687,0.8806041506431507,0.005676992160513206,91
15,0.58878173828125,0.10869683319118481,0.0,0.0,0.1,"(32,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'km__n_clusters': 6}",0.875867610756098,0.879503452361168,0.87432236184957,0.8802840386650975,0.8793263841166647,0.8778607695497197,0.0023328813562838295,147
16,0.5119837760925293,0.10738656784013553,0.0,0.0,0.1,"(32,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'km__n_clusters': 7}",0.8695978462544345,0.8822092280521082,0.8883916186864691,0.8810296908603819,0.8723353630633793,0.8787127493833544,0.006856042695310407,137
17,0.5408974647521972,0.10571303144395523,0.0,0.0,0.1,"(32,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'km__n_clusters': 8}",0.8751904147183598,0.8842026095756478,0.8860930029914165,0.8695854625324819,0.8698029621126632,0.8769748903861136,0.006994347070857928,160
18,0.5969940662384033,0.07527401398763574,0.0010085582733154296,0.0020171165466308593,0.1,"(32,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'km__n_clusters': 9}",0.8618713835539553,0.8804488419586082,0.8901059712278064,0.8822777819410333,0.8853474152892569,0.880010278794132,0.009641176903132648,108
19,0.6348697662353515,0.1037268806027401,0.003126668930053711,0.006253337860107422,0.1,"(32,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'km__n_clusters': 10}",0.8788860622905164,0.8743054129746478,0.8864445648047721,0.8753258281309351,0.8822521300317976,0.8794427996465337,0.004484845712061769,125
20,0.7815142631530761,0.11173180978656676,0.0013033390045166016,0.0026066780090332033,0.1,"(32,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'km__n_clusters': 15}",0.8771965270181709,0.8809593900676786,0.8878102305699969,0.8820408616610153,0.8841573726993629,0.882432876403245,0.003510954791272611,43
21,0.9873520374298096,0.08638338984354965,9.970664978027343e-05,0.0001994132995605469,0.1,"(32,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'km__n_clusters': 20}",0.8756552245598844,0.880553173378812,0.8977409797807323,0.8822201679497711,0.8835794382972539,0.8839497967932909,0.007398141505810763,11
22,0.886657428741455,0.18666356477171367,0.005427742004394531,0.006773366500293306,0.1,"(16,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16,), 'km__n_clusters': 2}",0.7143552393764475,0.7248579827397561,0.7447623826490248,0.7101401440277696,0.7184066995819899,0.7225044896749976,0.012141103216825185,218
23,1.261278009414673,0.1551945778088525,0.0,0.0,0.1,"(16,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16,), 'km__n_clusters': 3}",0.8334685707391926,0.8581521674673811,0.8709344045994866,0.7527917459105962,0.7713056814115714,0.8173305140256455,0.04708239406789081,199
24,1.2200987815856934,0.36604081576140307,0.003357696533203125,0.00671539306640625,0.1,"(16,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16,), 'km__n_clusters': 4}",0.8731726743343392,0.8735724160250165,0.8847053945755113,0.874015913955835,0.8806003429824741,0.8772133483746352,0.00463485729416868,154
25,1.1604535102844238,0.34408742657390645,0.0015878677368164062,0.0031757354736328125,0.1,"(16,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16,), 'km__n_clusters': 5}",0.8807160506325407,0.8789970134804881,0.8925406201296909,0.8842124404164605,0.8800571052612897,0.883304645984094,0.0049382254621685474,20
26,0.7947463989257812,0.1345442042922273,0.0,0.0,0.1,"(16,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16,), 'km__n_clusters': 6}",0.8757149645133613,0.8847495517131216,0.8899090700936559,0.880012293907378,0.8803807213807648,0.8821533203216563,0.0048181033320176024,50
27,0.625819730758667,0.09064842044344722,0.0,0.0,0.1,"(16,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16,), 'km__n_clusters': 7}",0.8639966050582208,0.8754796265701009,0.8906744926227398,0.877672565556001,0.8723625739603973,0.876037172753492,0.008668499836008637,165
28,0.9863986968994141,0.17495199541341222,0.0012125015258789063,0.0019422595467826593,0.1,"(16,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16,), 'km__n_clusters': 8}",0.8755154064319963,0.8828208279820722,0.8899136047864424,0.8794302482451721,0.8770544829678921,0.8809469140827151,0.005115968453474717,81
29,0.8698256492614747,0.2091217315134672,0.0024161338806152344,0.003881387053895421,0.1,"(16,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16,), 'km__n_clusters': 9}",0.8557126149697745,0.8724019252960141,0.884250738500223,0.8800282529652211,0.8833125702876545,0.8751412204037774,0.010569879970258919,174
30,0.9656563758850097,0.18896510363879096,0.003260517120361328,0.006521034240722657,0.1,"(16,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16,), 'km__n_clusters': 10}",0.8785105317309672,0.8821769237538514,0.8917076762419872,0.8786224362990331,0.8836745200888164,0.8829384176229311,0.004821939127390716,29
31,1.1267887115478517,0.18686317960438628,0.0032328128814697265,0.006465625762939453,0.1,"(16,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16,), 'km__n_clusters': 15}",0.8745392479768703,0.8827985549739187,0.8889797115495934,0.8802564857802453,0.8826340193829838,0.8818416039327224,0.004654745104823089,58
32,1.0182902336120605,0.1198998560333535,0.0,0.0,0.1,"(16,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16,), 'km__n_clusters': 20}",0.8659408469379895,0.8841553161349243,0.8929697817743412,0.8788200385821209,0.8690061834528789,0.878178433376451,0.009887441152042637,144
