,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.48679533004760744,0.23155407539256173,0.0,0.0,0.1,"(32, 32)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 2}",0.2714589106077218,0.29219505470308155,0.2748303063278517,0.28557728647014363,0.2794737191288915,0.28070705544753805,0.00744686187300079,209
1,0.5510941982269287,0.17275521644500247,0.0007032394409179687,0.0014064788818359375,0.1,"(32, 32)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 3}",0.43472691573190675,0.4171618087037093,0.45867495333067587,0.4155026691972505,0.4042785348204067,0.4260689763567898,0.01899430163804468,188
2,0.7739384651184082,0.20957913193068894,0.009469175338745117,0.007734186189305778,0.1,"(32, 32)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 4}",0.5317135366914066,0.5169431358862724,0.5254314028182594,0.5638126570077538,0.5226731398536587,0.5321147744514703,0.016546342721648476,167
3,0.6984641075134277,0.19962650329332277,0.0032183647155761717,0.006436729431152343,0.1,"(32, 32)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 5}",0.6952476653640216,0.6342016304428488,0.7429156601628603,0.6975985049475714,0.6236697890094614,0.6787266499853527,0.044188358630309815,143
4,0.700844669342041,0.24305562235232778,0.007251071929931641,0.007079000151705796,0.1,"(32, 32)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 6}",0.7870235820852135,0.787898928698691,0.7891123302276721,0.7813854383904018,0.7905231016612617,0.7871886762126481,0.0031313933553060464,129
5,0.9354233264923095,0.17813776273492127,0.003124427795410156,0.006248855590820312,0.1,"(32, 32)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 7}",0.8744546931968371,0.8804480066252922,0.8914150445160817,0.8656421676995425,0.898779371735896,0.8821478567547298,0.011806778449267785,89
6,1.0247272968292236,0.12084949842445877,0.009602689743041992,0.007843352861000802,0.1,"(32, 32)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 8}",0.8830224530120925,0.8979355332025477,0.8896878543220513,0.8743642482225165,0.8837411725886923,0.8857502522695799,0.0078115831871909975,49
7,1.0762743949890137,0.18615823294640418,0.0041083812713623045,0.006067888360299377,0.1,"(32, 32)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 9}",0.8928607795590615,0.8342232629478344,0.8935207392621005,0.8957944025463215,0.9007224143292304,0.8834243197289096,0.02475468228680032,75
8,1.2801756381988525,0.3545605111082913,0.003830432891845703,0.007413413167729117,0.1,"(32, 32)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 10}",0.8920672021765157,0.8642512682080143,0.8888187856760197,0.8805590219247281,0.8783031001761838,0.8807998756322923,0.009709828748367228,97
9,2.078216552734375,0.3974544882147,0.009378480911254882,0.007657498994398852,0.1,"(32, 32)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 15}",0.8797363376320495,0.8848561636019725,0.9262701652034799,0.8736803870981781,0.9105480442968986,0.8950182195665157,0.02004976784695771,23
10,2.2689856052398683,0.12639195095405828,0.0099761962890625,0.006981188357919862,0.1,"(32, 32)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'gmm__n_components': 20}",0.9180546026722083,0.9031963000046415,0.9121443510000345,0.9085755242252265,0.9043575346309051,0.9092656625066031,0.00542098677269455,5
11,0.3573478698730469,0.05377851523560463,0.0031253337860107423,0.0062506675720214845,0.1,"(32,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'gmm__n_components': 2}",0.27185329694996185,0.26601513123460035,0.2756536904365384,0.29035852713178295,0.24532268497785742,0.2698406661461482,0.014660086435673507,217
12,0.6574309825897217,0.2748389654155263,0.003124904632568359,0.0062498092651367175,0.1,"(32,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'gmm__n_components': 3}",0.4327252991750342,0.41685562566831824,0.38122239049318096,0.4159131782284492,0.404708137294917,0.41028492617198,0.017053757403336863,197
13,0.6362868785858155,0.23681923622646486,0.0,0.0,0.1,"(32,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'gmm__n_components': 4}",0.5133069128518626,0.5206015115711567,0.5219325190143523,0.5591156699531084,0.5178329519741767,0.5265579130729313,0.01654445209216516,169
14,0.6166618824005127,0.3560088490443651,0.0031264781951904296,0.006252956390380859,0.1,"(32,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'gmm__n_components': 5}",0.6866271850454281,0.636846770303993,0.7405847546342804,0.6961333218414499,0.6239370972158232,0.676825825808195,0.042260121964203805,152
15,0.6271749973297119,0.1150251199910616,0.0031247615814208986,0.006249523162841797,0.1,"(32,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'gmm__n_components': 6}",0.7884736266619429,0.7872314509444717,0.7865820476606246,0.7746036932265393,0.7938856919080886,0.7861553020803334,0.006323186396649918,132
16,0.8468744277954101,0.1635242707521965,0.003127288818359375,0.006254577636718749,0.1,"(32,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'gmm__n_components': 7}",0.874659364560538,0.880929171713806,0.8913095354971294,0.868964426835755,0.898779371735896,0.8829283740686249,0.01085230984225204,79
17,0.8059998035430909,0.13912307163172988,0.006251239776611328,0.007656175105048054,0.1,"(32,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'gmm__n_components': 8}",0.8820095344478569,0.8962887649851743,0.8885552154446223,0.865211325391051,0.8820020023594317,0.8828133685256272,0.010253696919402904,82
18,0.8778038024902344,0.18121942741029112,0.0032843589782714845,0.006568717956542969,0.1,"(32,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'gmm__n_components': 9}",0.8943771565534051,0.8300021705817108,0.8891279058707081,0.8924912368534205,0.8969384588865883,0.8805873857491665,0.025420548853930146,98
19,1.0821553230285645,0.1788622996779872,0.00010700225830078125,0.0002140045166015625,0.1,"(32,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'gmm__n_components': 10}",0.8857872913081802,0.8598475410569847,0.8893240597286433,0.8767307865407592,0.8759450599272053,0.8775269477123546,0.01022841913012816,116
20,1.8382882118225097,0.2233420945386039,0.0037396907806396484,0.004610550958630549,0.1,"(32,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'gmm__n_components': 15}",0.8746605856557872,0.8686009573054654,0.9270171086312808,0.8800145246024178,0.8965530276856031,0.8893692407761108,0.020995931019401816,39
21,2.1922200202941893,0.30492639724506126,0.0,0.0,0.1,"(32,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32,), 'gmm__n_components': 20}",0.9169514587119214,0.9048368922907883,0.9121903448947362,0.9064788182492101,0.9032410527656262,0.9087397133824565,0.0050974218394344096,7
22,0.42540926933288575,0.10469561540974007,0.001806783676147461,0.003613567352294922,0.1,"(16,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16,), 'gmm__n_components': 2}",0.27267668105864856,0.2849101009851241,0.2760653824908818,0.28482142857142856,0.28153514976175076,0.28000174857356674,0.0048749184591493685,213
23,0.4167591094970703,0.11038056448208859,0.0,0.0,0.1,"(16,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16,), 'gmm__n_components': 3}",0.4285695397585494,0.41609976776960317,0.38883542610127625,0.4192881602715204,0.41077026421854007,0.4127126316238979,0.01326684241681444,196
24,0.5477526187896729,0.2263793213763396,0.0031493663787841796,0.006298732757568359,0.1,"(16,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (16,), 'gmm__n_components': 4}",0.5127081427095191,0.523388190954074,0.5197351126742948,0.41707954515836293,0.5092313629946806,0.49642847089818626,0.03998804779619747,179
