k,type,score,label
2,Kmeans,0.364946,0
2,Kmeans,0.657937,0
2,Kmeans,0.383785,0
2,Kmeans,0.607477,0
2,Kmeans,0.14524,1
2,Kmeans,0.290568,1
2,Kmeans,0.051195,1
2,Kmeans,0.587564,0
2,Kmeans,0.163451,0
2,Kmeans,0.241929,1
2,Kmeans,0.187239,1
2,Kmeans,0.574715,0
2,Kmeans,0.33313,1
2,Kmeans,0.347137,1
2,Kmeans,0.346925,0
2,Kmeans,0.579742,0
2,Kmeans,0.184607,1
2,Kmeans,0.554378,0
2,Kmeans,0.61644,0
2,Kmeans,-0.132556,1
2,Kmeans,0.583287,0
2,Kmeans,0.275673,1
2,Kmeans,0.595764,0
2,Kmeans,0.555501,0
2,Kmeans,0.225421,1
2,Kmeans,0.581034,0
2,Kmeans,0.280095,1
2,Kmeans,0.260389,1
2,Kmeans,0.595283,0
2,Kmeans,0.584575,0
2,Kmeans,0.285018,1
2,Kmeans,-0.172104,1
2,Kmeans,0.515307,0
2,Kmeans,0.602724,0
2,Kmeans,0.235351,1
2,Kmeans,0.39002,1
2,Kmeans,0.333177,1
2,Kmeans,0.604601,0
2,Kmeans,0.596092,0
2,Kmeans,0.541728,0
2,Kmeans,0.537931,0
2,Kmeans,0.403033,1
2,Kmeans,0.228942,1
2,Kmeans,0.298614,1
2,Kmeans,0.266513,0
2,Kmeans,0.650595,0
2,Kmeans,0.509038,0
2,Kmeans,0.501859,0
2,Kmeans,0.549713,0
2,Kmeans,0.60012,0
2,Kmeans,0.120588,1
2,Kmeans,0.577237,0
2,Kmeans,0.589518,0
2,Kmeans,0.499253,0
2,Kmeans,0.449734,0
2,Kmeans,0.644584,0
2,Kmeans,0.631654,0
2,Kmeans,0.219906,1
2,Kmeans,0.631847,0
2,Kmeans,0.286984,0
2,Kmeans,0.399016,0
2,Kmeans,0.577074,0
2,Kmeans,0.318698,1
2,Kmeans,0.277543,1
2,Kmeans,0.431184,0
2,Kmeans,0.442155,0
2,Kmeans,0.299929,1
2,Kmeans,0.56682,0
2,Kmeans,0.191666,1
2,Kmeans,0.65885,0
2,Kmeans,0.302596,1
2,Kmeans,0.176683,1
2,Kmeans,0.544538,0
2,Kmeans,0.102173,1
2,Kmeans,0.576173,0
2,Kmeans,0.207062,1
2,Kmeans,0.346167,1
2,Kmeans,0.584374,0
2,Kmeans,0.356169,1
2,Kmeans,0.609672,0
2,Kmeans,0.257519,1
2,Kmeans,0.208077,1
2,Kmeans,0.077867,1
2,Kmeans,0.286952,0
2,Kmeans,0.648308,0
2,Kmeans,0.274971,1
2,Kmeans,0.355217,1
2,Kmeans,0.307899,1
2,Kmeans,0.655444,0
2,Kmeans,-0.101805,1
2,Kmeans,0.386244,0
2,Kmeans,0.476057,0
2,Kmeans,0.236558,0
2,Kmeans,0.534455,0
2,Kmeans,0.536429,0
2,Kmeans,0.519399,0
2,Kmeans,0.48053,0
2,Kmeans,0.617436,0
2,Kmeans,-0.154701,1
2,Kmeans,0.622808,0
2,Kmeans,0.599337,0
2,Kmeans,0.601867,0
2,Kmeans,0.594578,0
2,Kmeans,0.338873,0
2,Kmeans,0.202658,1
2,Kmeans,0.033048,1
2,Kmeans,0.607793,0
2,Kmeans,0.581658,0
2,Kmeans,0.477119,0
2,Kmeans,0.242439,1
2,Kmeans,0.64207,0
2,Kmeans,0.58306,0
2,Kmeans,0.505494,0
2,Kmeans,0.353189,1
2,Kmeans,0.44827,0
2,Kmeans,0.435995,0
2,Kmeans,0.620555,0
2,Kmeans,0.652491,0
2,Kmeans,0.443593,0
2,Kmeans,0.22443,1
2,Kmeans,0.648143,0
2,Kmeans,0.429332,0
2,Kmeans,0.644512,0
2,Kmeans,0.440638,0
2,Kmeans,0.354884,1
2,Kmeans,0.226355,1
2,Kmeans,0.644483,0
2,Kmeans,0.568421,0
2,Kmeans,0.296522,1
2,Kmeans,0.441727,0
2,Kmeans,0.441546,0
2,Kmeans,0.242555,1
2,Kmeans,0.557628,0
2,Kmeans,0.633479,0
2,Kmeans,0.191035,0
2,Kmeans,0.518305,0
2,Kmeans,0.551011,0
2,Kmeans,0.270205,1
2,Kmeans,0.632651,0
2,Kmeans,-0.036589,1
2,Kmeans,0.601822,0
2,Kmeans,0.566197,0
2,Kmeans,0.568832,0
2,Kmeans,0.579417,0
2,Kmeans,-0.093206,1
2,Kmeans,0.144931,1
2,Kmeans,-0.130053,1
2,Kmeans,-0.006214,1
2,Kmeans,0.369534,1
2,Kmeans,0.245086,1
2,Kmeans,0.415316,1
2,Kmeans,0.51267,0
2,Kmeans,0.176323,1
2,Kmeans,0.477102,0
2,Kmeans,0.638486,0
2,Kmeans,0.468654,0
2,Kmeans,0.550925,0
2,Kmeans,0.168537,1
2,Kmeans,0.605769,0
2,Kmeans,0.213789,1
2,Kmeans,0.195961,1
2,Kmeans,0.256178,1
2,Kmeans,0.232277,1
2,Kmeans,0.577967,0
2,Kmeans,0.249322,1
2,Kmeans,0.442764,0
2,Kmeans,0.53781,0
2,Kmeans,0.62528,0
2,Kmeans,0.367596,0
2,Kmeans,0.531799,0
2,Kmeans,0.519333,0
2,Kmeans,0.553303,0
2,Kmeans,0.294072,1
2,Kmeans,0.284401,0
2,Kmeans,0.279296,1
2,Kmeans,0.597444,0
2,Kmeans,0.325288,1
2,Kmeans,0.310902,1
2,Kmeans,0.528102,0
2,Kmeans,0.61911,0
2,Kmeans,0.552608,0
2,Kmeans,0.238909,1
2,Kmeans,0.350471,1
2,Kmeans,0.607584,0
2,Kmeans,0.317389,1
2,Kmeans,0.430338,1
2,Kmeans,0.335609,1
2,Kmeans,-0.103533,1
2,Kmeans,0.309611,1
2,Kmeans,0.607979,0
2,Kmeans,0.260516,1
2,Kmeans,0.646235,0
2,Kmeans,0.318384,1
2,Kmeans,0.633156,0
2,Kmeans,0.612267,0
2,Kmeans,0.551038,0
2,Kmeans,0.571293,0
2,Kmeans,0.314436,1
2,Kmeans,0.59929,0
2,Kmeans,0.59203,0
2,Kmeans,0.454887,0
2,Kmeans,0.662162,0
2,Kmeans,0.546292,0
2,Kmeans,0.565634,0
2,Kmeans,0.393697,1
2,Kmeans,0.387084,0
2,Kmeans,0.658622,0
2,Kmeans,0.352137,1
2,Kmeans,0.615797,0
2,Kmeans,0.539656,0
2,Kmeans,0.34913,0
2,Kmeans,0.326401,1
2,Kmeans,0.582061,0
2,Kmeans,0.602708,0
2,Kmeans,0.596211,0
2,Kmeans,0.380133,1
2,Kmeans,0.523401,0
2,Kmeans,0.53845,0
2,Kmeans,0.615543,0
2,Kmeans,0.528694,0
2,Kmeans,0.45611,0
2,Kmeans,0.387103,0
2,Kmeans,0.549498,0
2,Kmeans,0.013803,1
2,Kmeans,0.187484,0
2,Kmeans,0.587922,0
2,Kmeans,0.490821,0
2,Kmeans,0.390368,0
2,Kmeans,0.56918,0
2,Kmeans,0.396541,0
2,Kmeans,0.617802,0
2,Kmeans,0.609957,0
2,Kmeans,0.292427,1
2,Kmeans,0.422666,0
2,Kmeans,0.557503,0
2,Kmeans,0.654041,0
2,Kmeans,0.365222,0
2,Kmeans,0.372095,0
2,Kmeans,0.350816,1
2,Kmeans,0.512357,0
