,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.18180623054504394,0.007215180505614117,0.0065959453582763675,0.0063468924203103514,0.1,"(32, 32)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 2}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1,0.20502123832702637,0.0021847073528505788,0.006247997283935547,0.007652203967075743,0.1,"(32, 32)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 3}",0.9976190476190476,0.9952380952380953,1.0,1.0,1.0,0.9985714285714286,0.0019047619047618983,58
2,0.19333791732788086,0.007999675032212458,0.003125572204589844,0.006251144409179688,0.1,"(32, 32)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 4}",0.9988095238095238,0.9928571428571429,1.0,1.0,0.9928571428571429,0.9969047619047618,0.003333333333333322,129
3,0.21517024040222169,0.01359129598833744,0.0031428813934326174,0.006285762786865236,0.1,"(32, 32)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 5}",1.0,0.9976190476190476,0.9976190476190476,0.9761904761904762,1.0,0.9942857142857143,0.00911006022367096,348
4,0.2171710968017578,0.008669030584838772,0.006262731552124023,0.007670277192892798,0.1,"(32, 32)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 6}",1.0,1.0,0.9880952380952381,0.9952380952380953,1.0,0.9966666666666667,0.004665694748158418,141
5,0.20957517623901367,0.0069763986504891295,0.004126453399658203,0.006068041548389947,0.1,"(32, 32)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 7}",1.0,0.9952380952380953,0.9952380952380953,0.9976190476190476,0.9952380952380953,0.9966666666666667,0.0019047619047618983,141
6,0.21779074668884277,0.011603454919758156,0.009391212463378906,0.007667964481494103,0.1,"(32, 32)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 8}",1.0,1.0,0.9678571428571429,0.9880952380952381,1.0,0.9911904761904762,0.012544704640304272,649
7,0.22621254920959472,0.007886386476087137,0.00090179443359375,0.0018035888671875,0.1,"(32, 32)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 9}",1.0,0.9976190476190476,0.9857142857142858,0.9928571428571429,1.0,0.9952380952380953,0.0054294067861863525,247
8,0.2241530418395996,0.00873639777348144,0.003226470947265625,0.006203191535273237,0.1,"(32, 32)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 10}",0.9976190476190476,1.0,0.9928571428571429,0.9952380952380953,0.9952380952380953,0.9961904761904762,0.00242810453028227,188
9,0.22402658462524414,0.02623370028596376,0.007950448989868164,0.006992428716476622,0.1,"(32, 32)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 11}",0.9976190476190476,0.9976190476190476,0.9833333333333333,1.0,1.0,0.9957142857142858,0.006281383789653793,224
10,0.24586787223815917,0.01267111056839665,0.0,0.0,0.1,"(32, 32)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 12}",1.0,1.0,0.9952380952380953,1.0,1.0,0.9990476190476191,0.001904761904761898,33
11,0.2517822742462158,0.014278073935385141,0.0,0.0,0.1,"(32, 32)",13,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 13}",1.0,1.0,0.9952380952380953,0.9976190476190476,1.0,0.9985714285714286,0.001904761904761898,58
12,0.23670897483825684,0.0076757405617241,0.0031247615814208986,0.006249523162841797,0.1,"(32, 32)",14,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 14}",0.9976190476190476,1.0,0.9976190476190476,0.9952380952380953,0.9988095238095238,0.9978571428571428,0.0015793451382644704,77
13,0.24552359580993652,0.007386081389413711,0.0,0.0,0.1,"(32, 32)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 15}",1.0,1.0,0.9904761904761905,0.9976190476190476,0.9976190476190476,0.9971428571428571,0.0034992710611188135,114
14,0.23069519996643068,0.021112312023473613,0.007898569107055664,0.006986865425364456,0.1,"(32, 32)",16,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 16}",1.0,1.0,0.9845238095238096,0.975,0.9952380952380953,0.990952380952381,0.009776411984594197,669
15,0.23090977668762208,0.012991833852368812,0.009510564804077148,0.007771254175223879,0.1,"(32, 32)",17,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 17}",1.0,1.0,0.9845238095238096,0.9928571428571429,0.9952380952380953,0.9945238095238096,0.005714285714285694,322
16,0.24179363250732422,0.01583822464395925,0.00948162078857422,0.0077442107194843094,0.1,"(32, 32)",18,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 18}",1.0,1.0,0.9952380952380953,0.9904761904761905,0.9964285714285714,0.9964285714285716,0.0035315230890931603,169
17,0.23877038955688476,0.011945589240811613,0.0031247615814208986,0.006249523162841797,0.1,"(32, 32)",19,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 19}",0.9952380952380953,1.0,0.9976190476190476,0.9928571428571429,1.0,0.9971428571428571,0.002776643759450133,114
18,0.23825817108154296,0.012856262883166762,0.003124713897705078,0.006249427795410156,0.1,"(32, 32)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 20}",0.9904761904761905,0.9976190476190476,0.9940476190476191,0.9952380952380953,1.0,0.9954761904761906,0.003229680944345354,235
19,0.22751474380493164,0.0070887264114375915,0.0031111717224121095,0.006222343444824219,0.1,"(32, 32)",21,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 21}",0.9880952380952381,0.9845238095238096,0.9892857142857143,0.9928571428571429,0.9976190476190476,0.9904761904761905,0.004454354031873724,716
20,0.2512106418609619,0.00039461855711477316,0.0021011829376220703,0.004202365875244141,0.1,"(32, 32)",22,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 22}",0.9904761904761905,0.9964285714285714,0.9916666666666667,0.9880952380952381,1.0,0.9933333333333334,0.004298921448873268,426
21,0.2650750160217285,0.01583036258772562,0.00939035415649414,0.00766724885879088,0.1,"(32, 32)",23,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 23}",0.9952380952380953,1.0,1.0,1.0,1.0,0.9990476190476191,0.001904761904761898,33
22,0.2538994312286377,0.017648644626971455,0.009630632400512696,0.007874702888098134,0.1,"(32, 32)",24,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 24}",0.9976190476190476,1.0,0.9833333333333333,0.986904761904762,1.0,0.9935714285714287,0.007046975517594646,393
23,0.25736584663391116,0.01653244449014406,0.002284669876098633,0.0028512445541996364,0.1,"(32, 32)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 25}",1.0,0.9988095238095238,0.9928571428571429,0.9904761904761905,1.0,0.9964285714285716,0.003984095364447965,169
24,0.26407489776611326,0.006395864103641907,0.006250524520874023,0.0076553000516984444,0.1,"(32, 32)",26,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 26}",0.9952380952380953,0.9940476190476191,0.9916666666666667,0.9928571428571429,1.0,0.9947619047619047,0.0028769157079986973,289
25,0.24535894393920898,0.012579119979054733,0.003126096725463867,0.006252193450927733,0.1,"(32, 32)",27,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 27}",0.9976190476190476,0.9976190476190476,0.9916666666666667,0.9892857142857143,0.9976190476190476,0.9947619047619047,0.003579356280564966,289
26,0.25808348655700686,0.013139371477333952,0.009378004074096679,0.007657272785769636,0.1,"(32, 32)",28,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 28}",0.9976190476190476,0.9904761904761905,0.9916666666666667,0.9928571428571429,0.9976190476190476,0.994047619047619,0.00301169300968416,363
27,0.2876931667327881,0.01656416244277317,0.0013198375701904297,0.002639675140380859,0.1,"(32, 32)",29,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 29}",0.9952380952380953,0.9952380952380953,0.9976190476190476,0.9952380952380953,1.0,0.9966666666666667,0.001904761904761898,141
28,0.24244437217712403,0.007246018982021294,0.003135490417480469,0.006270980834960938,0.1,"(32, 32)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 30}",0.9928571428571429,0.9928571428571429,0.9904761904761905,0.9916666666666667,0.9952380952380953,0.9926190476190477,0.0015793451382644704,504
29,0.27837309837341306,0.028646355305838728,0.004325151443481445,0.006108805219521622,0.1,"(32, 32)",31,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 31}",1.0,0.9940476190476191,1.0,0.9904761904761905,0.986904761904762,0.9942857142857143,0.005183700251685039,348
30,0.26077661514282224,0.028625829951319688,0.0026017189025878905,0.005203437805175781,0.1,"(32, 32)",32,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 32}",0.9964285714285714,0.9857142857142858,0.9976190476190476,0.9952380952380953,0.9785714285714285,0.9907142857142857,0.007392464141076213,712
31,0.251169490814209,0.012555432709155654,0.003124523162841797,0.006249046325683594,0.1,"(32, 32)",33,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 33}",0.986904761904762,0.9976190476190476,0.9952380952380953,0.9928571428571429,0.9988095238095238,0.9942857142857143,0.004219058368254592,348
32,0.2732374668121338,0.014358112045497237,0.008736324310302735,0.0072619933589521,0.1,"(32, 32)",34,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 34}",0.9904761904761905,0.9904761904761905,0.9976190476190476,0.9904761904761905,0.9988095238095238,0.9935714285714287,0.003809523809523796,393
33,0.26589341163635255,0.013709140484163721,0.0019041538238525391,0.003808307647705078,0.1,"(32, 32)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 35}",0.9976190476190476,0.9964285714285714,0.9928571428571429,0.9952380952380953,0.9988095238095238,0.9961904761904762,0.0020481726826291893,188
34,0.25663013458251954,0.014499782151491277,0.0,0.0,0.1,"(32, 32)",36,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 36}",0.9976190476190476,0.986904761904762,0.975,0.9952380952380953,0.9916666666666667,0.9892857142857142,0.008003683959034112,853
35,0.2600247383117676,0.02294005467353679,0.009375619888305663,0.007655162168504145,0.1,"(32, 32)",37,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 37}",0.9845238095238096,0.9880952380952381,0.9952380952380953,0.9833333333333333,0.9964285714285714,0.9895238095238096,0.00539799240416888,817
36,0.2549413204193115,0.015423565864298784,0.009392452239990235,0.007668978578671075,0.1,"(32, 32)",38,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 38}",0.9845238095238096,0.9857142857142858,0.9928571428571429,0.9928571428571429,0.9928571428571429,0.9897619047619048,0.003809523809523796,790
37,0.26497344970703124,0.01605583513819692,0.0003013134002685547,0.0006026268005371094,0.1,"(32, 32)",39,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 39}",0.9904761904761905,0.9916666666666667,0.9880952380952381,0.9511904761904761,0.9940476190476191,0.9830952380952382,0.01606745982743145,1187
38,0.2558344841003418,0.025682214655744107,0.004240512847900391,0.006116775613341426,0.1,"(32, 32)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 40}",0.9821428571428571,0.9928571428571429,1.0,0.9797619047619047,0.9880952380952381,0.9885714285714287,0.0073231221424903525,902
39,0.29366269111633303,0.027495961086547765,0.0034683704376220702,0.004438527635731232,0.1,"(32, 32)",41,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 41}",0.9976190476190476,0.9952380952380953,1.0,0.9833333333333333,0.9892857142857143,0.993095238095238,0.006042179781166453,450
40,0.2784440040588379,0.03464587179997358,0.0062030315399169925,0.007597455323571504,0.1,"(32, 32)",42,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 42}",0.9880952380952381,0.9904761904761905,1.0,0.9904761904761905,0.9952380952380953,0.9928571428571429,0.0042591770999995835,475
41,0.2572178363800049,0.011717171112115876,0.011293268203735352,0.00611192282664591,0.1,"(32, 32)",43,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 43}",0.9976190476190476,0.9785714285714285,0.9952380952380953,0.9952380952380953,0.9952380952380953,0.9923809523809524,0.006966066113489444,522
42,0.27164220809936523,0.015643548894888323,0.009425783157348632,0.007696401043107193,0.1,"(32, 32)",44,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 44}",0.9857142857142858,0.9904761904761905,0.9904761904761905,0.9928571428571429,0.9964285714285714,0.9911904761904762,0.0034992710611188135,649
43,0.25114946365356444,0.008648370622980846,0.008771753311157227,0.007247551456046102,0.1,"(32, 32)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 45}",0.986904761904762,0.9940476190476191,0.9845238095238096,0.9857142857142858,0.9964285714285714,0.9895238095238096,0.004785655057676598,817
44,0.27678866386413575,0.03618827711804833,0.00954451560974121,0.007794808700422462,0.1,"(32, 32)",46,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 46}",0.9952380952380953,0.9833333333333333,0.9952380952380953,0.9976190476190476,0.9940476190476191,0.993095238095238,0.005016977977548949,450
45,0.275269603729248,0.01862444254370139,0.009338665008544921,0.007062964109225364,0.1,"(32, 32)",47,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 47}",0.9976190476190476,0.9976190476190476,0.9964285714285714,0.9952380952380953,0.9928571428571429,0.9959523809523809,0.0017817416127494897,211
46,0.2754953384399414,0.028928508995085467,0.011804819107055664,0.006059621475634096,0.1,"(32, 32)",48,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 48}",0.9821428571428571,0.9785714285714285,0.9964285714285714,0.9976190476190476,1.0,0.990952380952381,0.008799866005988751,669
47,0.2595484733581543,0.015459040969174803,0.0,0.0,0.1,"(32, 32)",49,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 49}",0.9880952380952381,0.9821428571428571,0.9773809523809524,0.9976190476190476,0.9952380952380953,0.9880952380952381,0.007641336445657742,939
48,0.2524452209472656,0.013422211447117378,0.0024015426635742186,0.004803085327148437,0.1,"(32, 32)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 50}",0.9904761904761905,0.9880952380952381,0.9928571428571429,0.9738095238095238,0.9952380952380953,0.9880952380952381,0.007529232524210442,939
49,0.3014227867126465,0.02551645895564968,0.003127431869506836,0.006254863739013672,0.1,"(32, 32)",51,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 51}",0.9928571428571429,0.9952380952380953,0.9964285714285714,0.9845238095238096,0.9940476190476191,0.9926190476190477,0.004219058368254592,504
50,0.28945064544677734,0.025418704634829342,0.0031243324279785155,0.006248664855957031,0.1,"(32, 32)",52,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 52}",0.9952380952380953,0.9904761904761905,0.9952380952380953,0.986904761904762,0.9964285714285714,0.9928571428571429,0.0036108930685959635,475
51,0.2752522945404053,0.00967249152682988,0.0062500953674316405,0.007654772260336815,0.1,"(32, 32)",53,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (32, 32), 'filter__n': 53}",0.9952380952380953,0.9845238095238096,0.9916666666666667,0.9928571428571429,0.9916666666666667,0.9911904761904762,0.003579356280564966,649
