k,type,score,label
2,Kmeans,0.369453,1
2,Kmeans,0.642725,1
2,Kmeans,0.627576,1
2,Kmeans,0.468641,1
2,Kmeans,0.413567,0
2,Kmeans,0.480758,0
2,Kmeans,0.647652,1
2,Kmeans,0.58011,1
2,Kmeans,0.491349,1
2,Kmeans,0.18075,0
2,Kmeans,0.490155,1
2,Kmeans,0.655051,1
2,Kmeans,0.189089,0
2,Kmeans,0.542906,1
2,Kmeans,0.672154,1
2,Kmeans,0.595725,1
2,Kmeans,0.255728,0
2,Kmeans,0.105937,0
2,Kmeans,0.449783,0
2,Kmeans,0.531997,1
2,Kmeans,0.586821,1
2,Kmeans,0.331017,1
2,Kmeans,0.459991,1
2,Kmeans,0.0363,0
2,Kmeans,0.317493,0
2,Kmeans,0.672301,1
2,Kmeans,0.308039,0
2,Kmeans,0.23883,0
2,Kmeans,0.578216,1
2,Kmeans,0.63103,1
2,Kmeans,0.470034,1
2,Kmeans,0.518412,1
2,Kmeans,0.364346,0
2,Kmeans,0.674377,1
2,Kmeans,-0.106244,0
2,Kmeans,0.657323,1
2,Kmeans,0.487957,0
2,Kmeans,0.262762,0
2,Kmeans,0.622306,1
2,Kmeans,0.430683,0
2,Kmeans,0.619973,1
2,Kmeans,0.237525,0
2,Kmeans,0.585009,1
2,Kmeans,0.42249,1
2,Kmeans,0.624389,1
2,Kmeans,0.592999,1
2,Kmeans,0.448253,1
2,Kmeans,0.580087,1
2,Kmeans,0.088262,0
2,Kmeans,0.630845,1
2,Kmeans,0.437476,0
2,Kmeans,0.305337,0
2,Kmeans,0.307061,0
2,Kmeans,0.624256,1
2,Kmeans,0.477056,0
2,Kmeans,0.641744,1
2,Kmeans,0.114399,1
2,Kmeans,0.670331,1
2,Kmeans,0.33819,0
2,Kmeans,0.651236,1
2,Kmeans,-0.128845,0
2,Kmeans,0.609788,1
2,Kmeans,0.498613,1
2,Kmeans,0.657543,1
2,Kmeans,0.324942,0
2,Kmeans,0.623843,1
2,Kmeans,0.110895,0
2,Kmeans,0.233341,0
2,Kmeans,0.60845,1
2,Kmeans,0.21133,0
2,Kmeans,0.285241,0
2,Kmeans,0.477305,1
2,Kmeans,0.454919,1
2,Kmeans,0.576157,1
2,Kmeans,0.119439,0
2,Kmeans,0.45862,0
2,Kmeans,0.564542,1
2,Kmeans,0.39775,0
2,Kmeans,0.347203,1
2,Kmeans,0.458649,0
2,Kmeans,0.584569,1
2,Kmeans,0.495561,1
2,Kmeans,0.381128,0
2,Kmeans,0.385322,0
2,Kmeans,0.440913,0
2,Kmeans,0.544202,1
2,Kmeans,0.601522,1
2,Kmeans,0.450137,0
2,Kmeans,0.238362,1
2,Kmeans,0.499367,0
2,Kmeans,0.436613,0
2,Kmeans,0.326722,1
2,Kmeans,0.501547,1
2,Kmeans,0.346271,1
2,Kmeans,0.351525,0
2,Kmeans,0.06522,0
2,Kmeans,0.069461,0
2,Kmeans,0.589472,1
2,Kmeans,0.48142,1
2,Kmeans,0.418854,0
2,Kmeans,0.253497,1
2,Kmeans,0.320923,0
2,Kmeans,0.480046,1
2,Kmeans,0.628601,1
2,Kmeans,0.66445,1
2,Kmeans,0.2396,1
2,Kmeans,0.371303,1
2,Kmeans,0.202698,0
2,Kmeans,0.493015,0
2,Kmeans,0.541259,1
2,Kmeans,0.298314,0
2,Kmeans,0.577402,1
2,Kmeans,0.624014,1
2,Kmeans,0.496744,0
2,Kmeans,0.346988,1
2,Kmeans,0.340278,0
2,Kmeans,0.612061,1
2,Kmeans,0.439505,0
2,Kmeans,0.44047,0
2,Kmeans,0.552652,1
2,Kmeans,0.628816,1
2,Kmeans,0.579786,1
2,Kmeans,0.617675,1
2,Kmeans,0.605644,1
2,Kmeans,0.513295,1
2,Kmeans,0.640895,1
2,Kmeans,0.378336,0
2,Kmeans,0.448421,0
2,Kmeans,0.597132,1
2,Kmeans,0.329389,1
2,Kmeans,0.438226,1
2,Kmeans,0.413283,1
2,Kmeans,0.400921,0
2,Kmeans,0.592881,1
2,Kmeans,0.440331,0
2,Kmeans,0.348038,0
2,Kmeans,0.671394,1
2,Kmeans,0.371606,0
2,Kmeans,0.389245,1
2,Kmeans,0.627433,1
2,Kmeans,0.584841,1
2,Kmeans,0.321923,1
2,Kmeans,0.655115,1
2,Kmeans,0.501834,1
2,Kmeans,0.466457,0
2,Kmeans,0.560427,1
2,Kmeans,0.114137,0
2,Kmeans,0.525896,1
2,Kmeans,0.311913,0
2,Kmeans,0.487376,0
2,Kmeans,0.382356,0
2,Kmeans,0.234211,0
2,Kmeans,0.315105,0
2,Kmeans,0.47854,1
2,Kmeans,0.583365,1
2,Kmeans,0.669905,1
2,Kmeans,0.609742,1
2,Kmeans,0.502605,1
2,Kmeans,0.352658,0
2,Kmeans,0.309307,0
2,Kmeans,0.663464,1
2,Kmeans,0.475211,1
2,Kmeans,0.615653,1
2,Kmeans,0.519159,1
2,Kmeans,0.63012,1
2,Kmeans,0.164024,0
2,Kmeans,0.573734,1
2,Kmeans,0.547514,1
2,Kmeans,0.424524,0
2,Kmeans,0.308761,0
2,Kmeans,0.408864,0
2,Kmeans,0.650199,1
