k,type,score,label
2,Kmeans,0.297774,0
2,Kmeans,0.534126,1
2,Kmeans,0.162007,0
2,Kmeans,-0.04654,0
2,Kmeans,0.345527,1
2,Kmeans,0.334478,0
2,Kmeans,0.370453,1
2,Kmeans,0.465886,1
2,Kmeans,0.314424,1
2,Kmeans,0.308391,0
2,Kmeans,-0.045661,0
2,Kmeans,0.376408,0
2,Kmeans,0.536391,1
2,Kmeans,0.355032,1
2,Kmeans,0.02869,0
2,Kmeans,0.558874,1
2,Kmeans,0.466203,1
2,Kmeans,0.287962,0
2,Kmeans,0.425387,0
2,Kmeans,0.329166,0
2,Kmeans,0.129246,0
2,Kmeans,-0.113958,0
2,Kmeans,0.52998,1
2,Kmeans,0.307934,0
2,Kmeans,0.40175,1
2,Kmeans,0.033875,0
2,Kmeans,0.386332,1
2,Kmeans,0.191933,0
2,Kmeans,0.146271,0
2,Kmeans,0.367261,0
2,Kmeans,0.158441,0
2,Kmeans,0.254747,1
2,Kmeans,0.418488,1
2,Kmeans,0.414154,0
2,Kmeans,0.384757,1
2,Kmeans,0.531866,1
2,Kmeans,0.129147,0
2,Kmeans,-0.004276,0
2,Kmeans,0.348544,1
2,Kmeans,0.397704,0
2,Kmeans,0.292644,0
2,Kmeans,0.066099,0
2,Kmeans,0.409818,1
2,Kmeans,0.516319,1
2,Kmeans,0.284824,0
2,Kmeans,0.561304,1
2,Kmeans,0.089284,0
2,Kmeans,0.360903,0
2,Kmeans,0.078496,0
2,Kmeans,0.406068,1
2,Kmeans,0.362736,0
2,Kmeans,0.21718,1
2,Kmeans,0.209757,1
2,Kmeans,0.175787,1
2,Kmeans,0.501388,1
2,Kmeans,0.278825,1
2,Kmeans,0.361954,0
2,Kmeans,0.37194,0
2,Kmeans,0.46369,1
2,Kmeans,0.284944,0
2,Kmeans,0.398473,1
2,Kmeans,0.37993,0
2,Kmeans,0.315474,0
2,Kmeans,0.535704,1
2,Kmeans,0.383861,0
2,Kmeans,0.460729,0
2,Kmeans,0.561173,1
2,Kmeans,-0.07609,0
2,Kmeans,0.34668,0
2,Kmeans,0.440933,0
2,Kmeans,0.437369,0
2,Kmeans,0.250321,1
2,Kmeans,0.043676,0
2,Kmeans,0.360465,1
2,Kmeans,0.148519,0
2,Kmeans,0.099903,0
2,Kmeans,-0.106242,0
2,Kmeans,0.374182,1
2,Kmeans,0.428575,0
2,Kmeans,-0.1102,0
2,Kmeans,0.259977,1
2,Kmeans,0.22239,0
2,Kmeans,0.419889,0
2,Kmeans,0.327241,0
2,Kmeans,0.352379,1
2,Kmeans,0.201834,0
2,Kmeans,0.395169,0
2,Kmeans,0.079539,0
2,Kmeans,0.099087,1
2,Kmeans,0.227662,1
2,Kmeans,0.483672,1
2,Kmeans,0.535314,1
2,Kmeans,0.100275,0
2,Kmeans,0.462465,1
2,Kmeans,0.366158,1
2,Kmeans,0.204235,0
2,Kmeans,0.507938,1
2,Kmeans,0.559056,1
2,Kmeans,0.20499,0
2,Kmeans,0.42954,0
2,Kmeans,0.364936,0
2,Kmeans,0.46842,1
2,Kmeans,0.266478,1
2,Kmeans,0.42549,1
2,Kmeans,0.447148,1
2,Kmeans,0.245249,0
2,Kmeans,0.444493,0
2,Kmeans,0.152892,0
2,Kmeans,-0.01487,0
2,Kmeans,-0.049568,0
2,Kmeans,0.314629,1
2,Kmeans,0.343821,1
2,Kmeans,0.344337,0
2,Kmeans,0.199613,0
2,Kmeans,0.42229,0
2,Kmeans,0.402498,1
2,Kmeans,0.137916,1
2,Kmeans,0.334817,0
2,Kmeans,0.327193,1
2,Kmeans,0.321393,1
2,Kmeans,0.27175,1
2,Kmeans,0.263061,0
2,Kmeans,0.077202,0
2,Kmeans,0.441159,0
2,Kmeans,0.437249,1
2,Kmeans,0.439436,1
2,Kmeans,0.556411,1
2,Kmeans,0.219916,0
2,Kmeans,0.366802,1
2,Kmeans,0.441707,0
2,Kmeans,0.290939,1
2,Kmeans,0.392113,0
2,Kmeans,0.178161,0
2,Kmeans,0.365523,1
2,Kmeans,0.283426,0
2,Kmeans,0.496435,1
2,Kmeans,0.431124,0
2,Kmeans,0.035008,0
2,Kmeans,0.014993,0
2,Kmeans,0.434051,0
2,Kmeans,0.394089,0
2,Kmeans,0.008847,0
2,Kmeans,0.358644,1
2,Kmeans,0.352767,0
2,Kmeans,0.437526,0
2,Kmeans,0.270073,1
2,Kmeans,0.57102,1
2,Kmeans,0.302417,1
2,Kmeans,-0.050597,0
2,Kmeans,0.379061,0
2,Kmeans,-0.070557,0
2,Kmeans,0.445334,0
2,Kmeans,0.165829,1
2,Kmeans,-0.05547,0
2,Kmeans,0.526651,1
2,Kmeans,-0.003842,0
2,Kmeans,0.409745,0
2,Kmeans,0.520321,1
2,Kmeans,0.146771,1
2,Kmeans,0.140882,1
2,Kmeans,0.435743,0
2,Kmeans,0.034242,0
2,Kmeans,0.341712,0
2,Kmeans,0.455254,1
2,Kmeans,0.41825,0
2,Kmeans,0.464952,1
2,Kmeans,0.563202,1
2,Kmeans,0.448013,0
2,Kmeans,-0.06881,0
2,Kmeans,0.411976,0
2,Kmeans,0.449435,0
2,Kmeans,0.252959,0
2,Kmeans,0.190416,0
2,Kmeans,0.486158,1
2,Kmeans,0.461996,0
2,Kmeans,0.262063,1
2,Kmeans,0.436055,0
2,Kmeans,0.551203,1
2,Kmeans,0.13747,1
2,Kmeans,0.40915,0
2,Kmeans,0.380356,1
2,Kmeans,0.429797,0
2,Kmeans,0.372927,0
2,Kmeans,0.421118,1
2,Kmeans,0.536011,1
2,Kmeans,0.356443,1
2,Kmeans,0.461064,1
2,Kmeans,0.334901,1
2,Kmeans,-0.079344,0
2,Kmeans,0.534178,1
2,Kmeans,0.515097,1
