k,type,score,label
2,Kmeans,0.285909,0
2,Kmeans,-0.010682,1
2,Kmeans,-0.015027,1
2,Kmeans,-0.041181,1
2,Kmeans,-0.019544,1
2,Kmeans,-0.125505,1
2,Kmeans,0.384181,0
2,Kmeans,0.396352,0
2,Kmeans,0.085475,0
2,Kmeans,0.352117,0
2,Kmeans,0.306128,0
2,Kmeans,-0.102492,1
2,Kmeans,0.371691,0
2,Kmeans,0.363231,0
2,Kmeans,0.281139,0
2,Kmeans,-0.060916,1
2,Kmeans,0.298145,0
2,Kmeans,0.000431,1
2,Kmeans,0.25833,0
2,Kmeans,0.346201,0
2,Kmeans,0.338124,0
2,Kmeans,0.321592,0
2,Kmeans,0.281354,0
2,Kmeans,0.283799,0
2,Kmeans,0.264414,0
2,Kmeans,-0.166311,1
2,Kmeans,0.230496,0
2,Kmeans,0.204935,0
2,Kmeans,-0.085122,1
2,Kmeans,-0.076916,1
2,Kmeans,0.241331,0
2,Kmeans,0.248767,0
2,Kmeans,0.318344,0
2,Kmeans,0.322297,0
2,Kmeans,-0.051139,1
2,Kmeans,0.396541,0
2,Kmeans,0.278306,0
2,Kmeans,-0.067758,1
2,Kmeans,0.313458,0
2,Kmeans,0.212067,0
2,Kmeans,0.13919,0
2,Kmeans,0.302271,0
2,Kmeans,0.163561,0
2,Kmeans,0.307458,0
2,Kmeans,-0.082283,1
2,Kmeans,0.227292,0
2,Kmeans,-0.167842,1
2,Kmeans,-0.138005,1
2,Kmeans,-0.175262,1
2,Kmeans,-0.140222,1
2,Kmeans,-0.097493,1
2,Kmeans,-0.123803,1
2,Kmeans,0.32279,0
2,Kmeans,0.336092,0
2,Kmeans,-0.128438,1
2,Kmeans,0.24168,0
2,Kmeans,0.358311,0
2,Kmeans,0.374971,0
2,Kmeans,0.308219,0
2,Kmeans,0.371486,0
2,Kmeans,0.02616,0
2,Kmeans,-0.17451,1
2,Kmeans,-0.013158,1
2,Kmeans,-0.174589,1
2,Kmeans,-0.021519,1
2,Kmeans,0.314877,0
2,Kmeans,0.3738,0
2,Kmeans,0.346406,0
