k,type,score,label
2,Kmeans,0.66102,0
2,Kmeans,0.623118,0
2,Kmeans,0.596612,0
2,Kmeans,0.592164,0
2,Kmeans,0.682149,0
2,Kmeans,0.691155,0
2,Kmeans,0.604131,0
2,Kmeans,0.609107,0
2,Kmeans,0.631424,0
2,Kmeans,0.68885,0
2,Kmeans,0.604478,0
2,Kmeans,0.634202,0
2,Kmeans,0.230954,1
2,Kmeans,0.625769,0
2,Kmeans,0.577514,0
2,Kmeans,0.494527,0
2,Kmeans,0.675201,0
2,Kmeans,0.261876,0
2,Kmeans,-0.024141,1
2,Kmeans,0.677474,0
2,Kmeans,0.685883,0
2,Kmeans,0.21962,0
2,Kmeans,0.151769,1
2,Kmeans,0.3475,1
2,Kmeans,0.683525,0
2,Kmeans,-0.020928,1
2,Kmeans,0.011407,1
2,Kmeans,0.325535,1
2,Kmeans,0.661748,0
2,Kmeans,0.706249,0
2,Kmeans,0.016683,1
2,Kmeans,0.588565,0
2,Kmeans,0.702217,0
2,Kmeans,0.217908,1
2,Kmeans,0.040515,1
2,Kmeans,0.664573,0
2,Kmeans,0.667918,0
2,Kmeans,0.389187,1
2,Kmeans,0.239415,1
2,Kmeans,0.639012,0
2,Kmeans,0.011416,1
2,Kmeans,-0.148663,1
2,Kmeans,0.658117,0
2,Kmeans,-0.01421,1
2,Kmeans,0.487993,0
2,Kmeans,0.165516,1
2,Kmeans,0.627977,0
2,Kmeans,0.203792,1
2,Kmeans,0.645679,0
2,Kmeans,0.109439,1
2,Kmeans,0.645418,0
2,Kmeans,0.409139,1
2,Kmeans,0.599351,0
2,Kmeans,0.378029,1
2,Kmeans,0.654333,0
2,Kmeans,0.358269,1
2,Kmeans,0.684335,0
2,Kmeans,0.676289,0
2,Kmeans,0.642811,0
2,Kmeans,0.481524,0
2,Kmeans,0.244722,0
2,Kmeans,0.437797,0
2,Kmeans,0.624569,0
2,Kmeans,0.656076,0
2,Kmeans,0.684528,0
2,Kmeans,0.254219,1
2,Kmeans,0.674171,0
2,Kmeans,0.027285,1
2,Kmeans,0.266613,1
2,Kmeans,0.324316,0
2,Kmeans,0.303266,1
2,Kmeans,0.283772,1
2,Kmeans,0.23001,1
2,Kmeans,0.253132,0
2,Kmeans,0.660388,0
2,Kmeans,-0.087079,1
2,Kmeans,0.262969,1
2,Kmeans,-0.177986,1
2,Kmeans,0.538186,0
2,Kmeans,0.229715,1
2,Kmeans,0.631886,0
2,Kmeans,0.052602,1
2,Kmeans,0.700855,0
2,Kmeans,0.594329,0
2,Kmeans,0.68462,0
2,Kmeans,0.378583,1
2,Kmeans,0.171774,0
2,Kmeans,0.219827,1
2,Kmeans,0.430588,0
2,Kmeans,0.426322,1
2,Kmeans,0.27726,0
2,Kmeans,0.654347,0
2,Kmeans,0.182193,1
2,Kmeans,0.165375,0
2,Kmeans,0.381618,1
2,Kmeans,0.677367,0
2,Kmeans,0.615251,0
2,Kmeans,0.316677,1
2,Kmeans,0.677002,0
2,Kmeans,0.085957,1
2,Kmeans,0.194033,1
2,Kmeans,0.64298,0
2,Kmeans,0.35222,0
2,Kmeans,0.501261,0
2,Kmeans,0.676154,0
2,Kmeans,0.38545,0
2,Kmeans,0.381474,1
2,Kmeans,0.32317,1
2,Kmeans,0.565955,0
2,Kmeans,0.222424,1
2,Kmeans,0.695569,0
2,Kmeans,0.327858,1
2,Kmeans,0.632746,0
2,Kmeans,0.65983,0
2,Kmeans,0.263062,0
2,Kmeans,0.290594,1
2,Kmeans,0.104115,1
2,Kmeans,0.683795,0
2,Kmeans,0.327541,1
2,Kmeans,0.212269,0
2,Kmeans,-0.177104,1
2,Kmeans,0.664642,0
2,Kmeans,0.689618,0
2,Kmeans,0.684203,0
2,Kmeans,0.664461,0
2,Kmeans,0.585714,0
2,Kmeans,0.297631,1
2,Kmeans,-0.065538,1
2,Kmeans,0.380346,0
2,Kmeans,0.647417,0
2,Kmeans,0.49425,0
2,Kmeans,0.218096,0
2,Kmeans,0.656793,0
2,Kmeans,0.475497,0
2,Kmeans,0.513503,0
2,Kmeans,0.65911,0
2,Kmeans,0.640479,0
2,Kmeans,0.282204,1
2,Kmeans,0.583026,0
2,Kmeans,0.295596,0
2,Kmeans,0.689599,0
2,Kmeans,0.648757,0
2,Kmeans,0.48779,0
2,Kmeans,0.108559,1
2,Kmeans,0.621474,0
2,Kmeans,0.620054,0
2,Kmeans,0.697691,0
2,Kmeans,0.687735,0
2,Kmeans,0.335573,1
2,Kmeans,0.254737,0
2,Kmeans,0.699527,0
2,Kmeans,0.587891,0
2,Kmeans,0.303561,1
2,Kmeans,0.635938,0
2,Kmeans,0.190396,1
2,Kmeans,0.050808,1
2,Kmeans,0.242932,1
2,Kmeans,0.37092,0
2,Kmeans,0.618309,0
2,Kmeans,0.294823,1
2,Kmeans,0.082909,1
2,Kmeans,0.278237,1
2,Kmeans,0.100025,0
2,Kmeans,0.669295,0
2,Kmeans,0.413068,1
2,Kmeans,0.61898,0
2,Kmeans,0.222959,1
2,Kmeans,0.380673,0
2,Kmeans,-0.026103,1
2,Kmeans,0.108013,1
2,Kmeans,0.592258,0
2,Kmeans,0.66208,0
2,Kmeans,0.320544,0
2,Kmeans,0.663813,0
2,Kmeans,0.66114,0
2,Kmeans,0.551783,0
2,Kmeans,0.331055,1
2,Kmeans,0.655936,0
2,Kmeans,0.459651,0
2,Kmeans,0.311646,1
2,Kmeans,0.508805,0
2,Kmeans,0.382057,1
2,Kmeans,0.613502,0
2,Kmeans,0.563053,0
2,Kmeans,-0.003046,1
2,Kmeans,0.65721,0
2,Kmeans,0.693901,0
2,Kmeans,0.678308,0
2,Kmeans,0.684318,0
2,Kmeans,0.250037,1
2,Kmeans,0.254896,0
2,Kmeans,0.648462,0
2,Kmeans,-0.13771,1
2,Kmeans,0.16337,1
2,Kmeans,-0.047576,1
2,Kmeans,0.604843,0
2,Kmeans,0.657702,0
2,Kmeans,0.275491,1
2,Kmeans,0.681971,0
2,Kmeans,0.271325,1
2,Kmeans,0.348317,1
2,Kmeans,0.616837,0
2,Kmeans,0.330963,1
2,Kmeans,0.609493,0
2,Kmeans,0.687954,0
2,Kmeans,-0.137236,1
2,Kmeans,0.299444,1
2,Kmeans,0.705915,0
2,Kmeans,0.334551,1
2,Kmeans,0.65501,0
2,Kmeans,0.219555,1
2,Kmeans,0.595699,0
2,Kmeans,0.697681,0
2,Kmeans,0.679921,0
2,Kmeans,0.568652,0
